gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,8k,4k,1440p,1080p
208.4,0.704,3.309,4.207,385,0,1.93,1.67,201,62,397,530,311
210.9,0.741,3.296,4.208,117,0,2.06,1.66,214,145,306,508,341
205.6,0.792,3.203,4.186,93,0,2.06,1.68,136,145,308,505,342
208.7,0.674,3.305,4.155,388,0,2.01,1.69,192,112,332,552,304
207.5,0.662,3.286,4.13,154,0,2.09,1.69,178,155,319,520,306
204.4,0.671,3.226,4.065,239,0,2.1,1.69,165,149,371,538,242
206.0,0.609,3.32,4.089,108,0,2.09,1.69,233,155,294,617,234
218.7,0.499,3.425,4.075,242,0,2.03,1.67,295,108,407,490,295
214.7,0.513,3.374,4.034,125,0,2.11,1.67,295,148,404,472,276
212.5,0.474,3.379,3.985,239,0,2.16,1.67,347,167,442,498,193
207.0,0.53,3.357,4.037,303,0,2.12,1.67,371,151,414,513,222
217.6,0.528,3.427,4.095,206,0,2.11,1.67,380,174,262,581,283
224.7,0.526,3.424,4.091,11,0,2.12,1.67,380,176,267,577,280
226.0,0.537,3.438,4.114,208,0,2.05,1.68,390,137,290,659,214
223.1,0.547,3.416,4.105,43,0,2.08,1.68,390,150,294,642,214
221.1,0.509,3.404,4.066,38,0,2.09,1.68,390,149,331,626,194
218.9,0.509,3.401,4.078,124,0,2.06,1.68,390,137,340,584,239
220.4,0.562,3.37,4.095,219,0,2.13,1.68,351,181,288,559,272
218.6,0.557,3.361,4.085,40,0,2.15,1.67,344,189,295,458,358
216.5,0.629,3.345,4.103,173,0,2.18,1.67,359,207,288,480,325
217.9,0.632,3.389,4.143,144,0,2.2,1.67,359,232,201,504,363
217.8,0.682,3.371,4.192,211,0,2.12,1.66,328,197,167,506,430
217.3,0.665,3.37,4.192,203,0,2.02,1.66,328,133,247,504,416
216.2,0.643,3.364,4.174,92,0,1.99,1.66,323,106,326,444,424
213.4,0.658,3.362,4.177,58,0,2.08,1.66,323,160,272,428,440
222.8,0.636,3.401,4.162,344,0,2.24,1.66,369,253,185,479,383
215.5,0.661,3.359,4.141,112,0,2.38,1.66,369,337,120,438,405
209.9,0.658,3.358,4.137,9,0,2.39,1.66,369,341,120,436,403
214.2,0.636,3.331,4.093,171,0,2.33,1.67,306,302,163,555,280
205.6,0.566,3.362,4.057,104,0,2.32,1.67,306,290,206,549,255
204.1,0.547,3.364,4.044,70,0,2.28,1.67,306,256,276,516,252
202.0,0.63,3.259,4.042,202,0,2.18,1.67,213,184,422,444,250
198.4,0.601,3.318,4.085,169,57,2.07,1.68,238,129,427,430,314
198.8,0.583,3.372,4.109,196,0,2.06,1.68,331,126,398,531,245
198.8,0.563,3.37,4.101,64,0,1.98,1.68,331,71,469,516,244
197.8,0.564,3.367,4.099,10,0,1.98,1.68,331,71,469,518,242
200.8,0.606,3.392,4.158,145,0,2.0,1.68,369,100,374,552,274
214.5,0.63,3.4,4.197,263,0,2.0,1.68,368,116,294,579,311
211.8,0.554,3.376,4.075,179,0,2.16,1.68,362,179,369,615,137
214.6,0.602,3.376,4.122,126,0,2.15,1.66,316,176,376,432,316
215.3,0.67,3.287,4.111,198,0,2.15,1.67,259,182,326,484,308
212.3,0.698,3.282,4.136,127,0,2.13,1.67,259,185,266,517,332
213.1,0.695,3.273,4.121,67,0,2.15,1.69,262,186,301,561,252
213.2,0.665,3.278,4.099,41,0,2.08,1.69,262,135,398,518,249
215.0,0.642,3.247,4.059,91,0,2.12,1.69,248,142,485,402,271
210.1,0.531,3.294,3.991,164,0,2.01,1.69,248,71,581,435,213
209.9,0.544,3.266,3.98,87,0,2.08,1.69,232,112,529,450,209
209.3,0.507,3.334,3.997,121,0,2.07,1.66,298,115,494,355,336
214.8,0.544,3.334,4.059,227,0,2.04,1.67,328,114,419,351,416
216.7,0.559,3.287,4.002,159,0,2.15,1.67,314,179,338,508,275
211.3,0.556,3.286,3.998,8,0,2.15,1.67,314,179,343,506,272
208.9,0.683,3.269,4.125,224,0,2.09,1.67,309,168,267,470,395
213.4,0.674,3.365,4.184,157,0,2.13,1.67,309,211,117,533,439
221.6,0.597,3.398,4.137,138,0,2.09,1.67,305,174,230,496,400
222.7,0.608,3.398,4.162,281,0,1.89,1.69,305,52,340,633,275
226.1,0.603,3.391,4.15,204,0,1.96,1.69,335,84,354,596,266
225.6,0.593,3.38,4.123,49,0,2.0,1.69,335,103,356,580,261
219.2,0.618,3.344,4.106,78,0,2.07,1.69,335,146,309,610,235
223.7,0.631,3.341,4.125,127,0,2.02,1.69,335,113,357,611,219
218.9,0.624,3.346,4.122,36,0,2.02,1.69,334,114,350,620,216
217.9,0.683,3.364,4.208,205,0,2.03,1.69,326,139,222,613,326
224.9,0.661,3.427,4.258,406,0,1.91,1.67,307,71,293,513,423
223.6,0.553,3.491,4.218,245,0,1.92,1.67,307,71,337,497,395
219.5,0.589,3.476,4.236,60,0,1.98,1.67,314,108,278,521,393
219.8,0.596,3.417,4.18,201,0,2.2,1.67,275,226,233,514,327
216.0,0.561,3.434,4.146,144,0,2.24,1.67,310,260,122,646,272
216.7,0.566,3.396,4.124,70,0,2.2,1.67,310,224,222,622,232
216.4,0.581,3.384,4.112,36,0,2.25,1.67,307,257,172,646,225
221.2,0.551,3.416,4.11,349,0,2.28,1.67,310,276,173,566,285
213.9,0.523,3.405,4.071,25,0,2.34,1.67,304,297,204,518,281
218.0,0.563,3.436,4.177,224,0,2.14,1.67,299,182,304,503,311
221.4,0.551,3.583,4.311,222,0,1.95,1.66,370,109,205,531,455
219.4,0.541,3.527,4.237,143,0,2.07,1.67,339,155,258,516,371
221.9,0.612,3.355,4.137,305,0,2.09,1.68,263,160,281,576,283
221.7,0.614,3.387,4.153,248,0,2.05,1.68,263,145,265,617,273
222.3,0.639,3.383,4.198,227,0,2.01,1.68,246,115,316,493,376
220.6,0.646,3.36,4.179,202,0,2.12,1.68,225,180,272,464,384
215.1,0.636,3.363,4.162,186,0,2.17,1.68,269,208,247,502,343
216.0,0.651,3.331,4.149,75,0,2.16,1.68,269,208,228,506,358
