gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
4.616,4.54,3.021,7.561,83,347,1858.204,0.0,0
4.638,4.464,3.012,7.476,99,399,1807.217,0.0,0
4.637,4.415,3.025,7.44,87,392,1807.726,0.0,0
4.633,4.516,3.03,7.546,73,412,1799.658,0.0,0
4.632,4.437,3.027,7.464,90,386,1843.61,0.0,0
4.651,4.43,3.035,7.465,84,383,1793.852,0.0,0
4.577,4.352,3.02,7.372,81,335,1893.883,0.0,0
4.599,4.403,3.021,7.423,58,365,1803.698,0.0,0
4.614,4.385,3.02,7.405,79,359,1815.426,0.0,0
4.564,4.491,3.017,7.508,117,394,1792.926,0.0,0
4.575,4.527,3.014,7.541,76,338,1830.814,0.0,0
4.574,4.462,3.02,7.482,89,376,1784.152,0.0,0
4.571,4.495,3.013,7.508,76,409,1821.093,0.0,0
4.593,4.514,3.011,7.525,56,394,1835.257,0.0,0
4.635,4.66,3.017,7.678,72,492,1814.039,0.0,0
4.635,4.648,3.018,7.666,64,416,1782.907,0.0,0
4.634,4.678,3.02,7.698,70,426,1816.091,0.0,0
4.616,4.794,3.019,7.813,58,389,1745.787,0.0,0
4.593,4.899,3.023,7.922,38,380,1790.087,0.0,0
4.554,4.994,3.019,8.013,63,405,1780.67,0.0,0
4.584,5.013,3.007,8.019,75,428,1817.015,0.0,0
4.597,5.116,3.007,8.124,93,426,1796.147,0.0,0
4.582,5.09,3.036,8.126,85,365,1776.378,0.0,0
4.589,5.046,3.025,8.071,64,414,1873.492,0.0,0
4.537,5.023,3.028,8.051,71,431,1876.702,0.0,0
4.6,5.114,3.037,8.151,86,444,1770.984,0.0,0
4.608,5.143,3.04,8.183,75,406,1860.535,0.0,0
4.643,5.237,3.036,8.273,71,392,1826.435,0.0,0
4.602,5.206,3.034,8.24,73,411,1851.969,0.0,0
4.601,5.182,3.031,8.213,60,418,1833.15,0.0,0
4.6,5.055,3.024,8.078,111,414,1858.033,0.0,0
4.545,4.988,3.021,8.009,88,388,1805.97,0.0,0
4.633,5.106,3.014,8.12,75,466,1858.284,0.0,0
4.576,5.008,3.014,8.022,83,421,1788.754,0.0,0
4.624,4.977,3.018,7.995,103,388,1829.183,0.0,0
4.574,4.96,3.022,7.982,74,437,1798.006,0.0,0
4.588,4.892,3.009,7.901,116,382,1801.69,0.0,0
4.62,4.977,3.013,7.99,65,393,1855.411,0.0,0
4.555,4.859,3.013,7.872,95,381,1752.8,0.0,0
4.579,4.878,3.01,7.888,101,429,1823.546,0.0,0
4.588,4.836,3.013,7.849,69,394,1887.779,0.0,0
4.615,4.758,3.014,7.772,79,365,1836.195,0.0,0
4.576,4.728,3.011,7.739,99,450,1720.6,0.0,0
4.612,4.728,3.023,7.751,70,371,1779.042,0.0,0
4.596,4.814,3.023,7.837,77,450,1788.65,0.0,0
4.574,4.824,3.027,7.851,69,365,1828.263,0.0,0
4.57,4.753,3.014,7.767,84,390,1771.952,0.0,0
4.572,4.7,3.024,7.724,86,393,1802.575,0.0,0
4.589,4.657,3.023,7.68,75,374,1790.901,0.0,0
4.588,4.628,3.025,7.653,92,440,1779.685,0.0,0
4.583,4.544,3.027,7.571,79,374,1805.965,0.0,0
4.574,4.511,3.022,7.534,94,406,1864.913,0.0,0
4.547,4.502,3.023,7.525,63,378,1872.168,0.0,0
4.568,4.421,3.025,7.446,103,417,1797.612,0.0,0
4.632,4.44,3.02,7.46,73,439,1802.375,0.0,0
4.613,4.456,3.022,7.478,62,419,1784.37,0.0,0
4.562,4.404,3.031,7.434,99,431,1832.443,0.0,0
4.585,4.344,3.025,7.368,83,376,1831.5,0.0,0
4.602,4.355,3.029,7.384,43,374,1809.639,0.0,0
4.562,4.415,3.019,7.434,96,396,1746.228,0.0,0
4.599,4.372,3.022,7.394,62,427,1735.396,0.0,0
4.603,4.497,3.031,7.528,72,459,1831.839,0.0,0
4.579,4.442,3.042,7.484,84,371,1795.109,0.0,0
4.561,4.399,3.043,7.442,81,382,1869.218,0.0,0
4.578,4.373,3.041,7.415,66,359,1773.916,0.0,0
4.571,4.37,3.049,7.419,90,399,1800.433,0.0,0
4.572,4.355,3.05,7.405,76,357,1846.211,0.0,0
4.568,4.302,3.044,7.346,93,470,1809.266,0.0,0
4.623,4.281,3.034,7.315,69,385,1847.305,0.0,0
4.605,4.381,3.032,7.413,73,397,1796.311,0.0,0
4.534,4.47,3.038,7.508,85,348,1799.724,0.0,0
4.594,4.471,3.038,7.508,76,391,1832.079,0.0,0
4.546,4.418,3.029,7.447,78,433,1733.992,0.0,0
4.642,4.456,3.036,7.493,64,466,1851.447,0.0,0
4.605,4.396,3.034,7.43,68,410,1808.293,0.0,0
4.529,4.466,3.02,7.486,63,486,1785.386,0.0,0
4.585,4.512,3.028,7.54,74,382,1881.336,0.0,0
4.603,4.476,3.035,7.511,74,475,1793.979,0.0,0
4.606,4.516,3.049,7.565,72,450,1853.697,0.0,0
4.54,4.431,3.051,7.482,93,485,1819.438,0.0,0
4.614,4.489,3.048,7.537,84,460,1843.433,0.0,0
4.548,4.519,3.049,7.568,93,408,1811.119,0.0,0
4.552,4.49,3.052,7.541,90,441,1780.45,0.0,0
4.591,4.496,3.05,7.545,78,430,1740.316,0.0,0
4.547,4.499,3.051,7.55,88,424,1786.216,0.0,0
4.599,4.647,3.054,7.701,49,445,1817.528,0.0,0
4.58,4.697,3.053,7.75,61,469,1818.195,0.0,0
4.61,4.754,3.052,7.806,66,443,1812.182,0.0,0
4.539,4.694,3.051,7.744,95,382,1744.552,0.0,0
4.562,4.709,3.055,7.764,64,359,1821.909,0.0,0
4.556,4.665,3.043,7.708,74,402,1804.325,0.0,0
4.588,4.753,3.048,7.801,54,448,1770.393,0.0,0
4.621,4.706,3.044,7.75,66,450,1870.135,0.0,0
4.601,4.652,3.054,7.706,64,506,1786.08,0.0,0
4.555,4.535,3.047,7.583,76,406,1851.769,0.0,0
4.597,4.562,3.043,7.605,85,445,1794.187,0.0,0
4.513,4.506,3.038,7.544,94,445,1894.329,0.0,0
4.596,4.359,3.036,7.395,90,425,1815.885,0.0,0
4.629,4.358,3.037,7.394,74,427,1803.154,0.0,0
4.621,4.379,3.04,7.419,71,430,1729.826,0.0,0
4.577,4.438,3.041,7.478,82,476,1812.97,0.0,0
4.6,4.4,3.042,7.443,84,447,1812.281,0.0,0
4.59,4.393,3.034,7.426,114,391,1762.181,0.0,0
4.571,4.358,3.036,7.395,80,393,1815.121,0.0,0
4.577,4.377,3.034,7.411,84,380,1857.686,0.0,0
4.568,4.398,3.03,7.428,82,416,1886.231,0.0,0
4.626,4.403,3.027,7.43,75,466,1805.289,0.0,0
4.599,4.549,3.032,7.581,75,436,1893.712,0.0,0
4.588,4.611,3.028,7.638,66,453,1780.861,0.0,0
4.622,4.633,3.035,7.668,82,425,1782.447,0.0,0
4.6,4.612,3.037,7.649,83,442,1792.828,0.0,0
4.566,4.511,3.036,7.547,115,347,1817.023,0.0,0
4.633,4.424,3.039,7.463,91,429,1815.566,0.0,0
4.558,4.324,3.032,7.356,99,437,1787.058,0.0,0
4.555,4.332,3.024,7.355,89,402,1787.517,0.0,0
4.597,4.463,3.029,7.492,72,455,1834.075,0.0,0
4.544,4.547,3.037,7.584,75,422,1810.427,0.0,0
4.592,4.595,3.033,7.628,101,452,1821.137,0.0,0
4.561,4.727,3.045,7.772,74,436,1767.147,0.0,0
4.557,4.666,3.04,7.706,81,464,1835.342,0.0,0
4.585,4.668,3.031,7.699,99,422,1825.989,0.0,0
4.618,4.61,3.029,7.639,74,467,1845.274,0.0,0
4.592,4.613,3.035,7.648,88,443,1834.721,0.0,0
4.618,4.578,3.035,7.613,84,423,1828.359,0.0,0
4.572,4.594,3.034,7.628,89,442,1752.13,0.0,0
4.581,4.575,3.037,7.612,95,416,1870.41,0.0,0
4.578,4.576,3.037,7.613,73,398,1813.065,0.0,0
4.532,4.559,3.026,7.585,82,378,1785.678,0.0,0
4.548,4.596,3.033,7.629,98,381,1835.83,0.0,0
4.552,4.66,3.043,7.703,105,391,1818.459,0.0,0
4.571,4.605,3.038,7.643,71,383,1867.094,0.0,0
4.597,4.582,3.03,7.612,74,370,1833.474,0.0,0
4.544,4.541,3.021,7.562,85,423,1759.191,0.0,0
4.586,4.687,3.033,7.72,65,398,1770.286,0.0,0
4.599,4.585,3.026,7.611,75,396,1805.969,0.0,0
4.563,4.511,3.024,7.536,92,371,1727.697,0.0,0
4.594,4.439,3.024,7.463,102,419,1847.181,0.0,0
4.594,4.453,3.023,7.476,73,456,1782.505,0.0,0
4.605,4.391,3.031,7.423,69,501,1832.366,0.0,0
4.633,4.328,3.018,7.346,72,395,1829.501,0.0,0
4.535,4.39,3.01,7.4,42,450,1791.071,0.0,0
4.558,4.34,3.01,7.35,79,455,1830.144,0.0,0
4.581,4.333,3.017,7.349,83,423,1810.826,0.0,0
4.559,4.278,3.015,7.292,84,450,1796.453,0.0,0
4.584,4.218,3.008,7.226,89,432,1798.022,0.0,0
4.571,4.209,3.018,7.227,97,437,1788.078,0.0,0
4.596,4.21,3.02,7.23,85,415,1815.303,0.0,0
4.569,4.271,3.014,7.285,84,428,1795.071,0.0,0
4.589,4.293,3.003,7.296,75,367,1800.101,0.0,0
4.574,4.27,3.014,7.284,88,416,1793.136,0.0,0
4.581,4.245,3.017,7.262,76,389,1808.288,0.0,0
4.576,4.265,3.022,7.287,100,443,1856.092,0.0,0
4.577,4.37,3.033,7.403,110,475,1804.351,0.0,0
4.601,4.502,3.04,7.542,65,459,1829.943,0.0,0
4.613,4.596,3.035,7.631,91,425,1708.475,0.0,0
4.556,4.589,3.038,7.627,93,423,1760.875,0.0,0
4.602,4.707,3.04,7.747,71,433,1771.128,0.0,0
4.583,4.785,3.039,7.824,77,463,1773.933,0.0,0
4.542,4.718,3.043,7.761,79,410,1765.435,0.0,0
4.597,4.663,3.043,7.706,67,381,1805.887,0.0,0
4.55,4.627,3.05,7.677,86,397,1848.231,0.0,0
4.507,4.631,3.041,7.672,72,371,1798.577,0.0,0
4.609,4.614,3.039,7.652,51,373,1837.136,0.0,0
4.571,4.618,3.028,7.646,85,444,1806.891,0.0,0
4.595,4.614,3.026,7.641,84,426,1801.716,0.0,0
4.55,4.555,3.026,7.582,58,400,1864.684,0.0,0
4.532,4.527,3.032,7.559,84,387,1821.687,0.0,0
4.543,4.514,3.032,7.547,65,382,1834.072,0.0,0
4.567,4.426,3.038,7.465,81,446,1805.779,0.0,0
4.574,4.398,3.034,7.432,109,381,1786.99,0.0,0
4.579,4.371,3.024,7.394,90,395,1848.766,0.0,0
4.579,4.375,3.032,7.407,74,458,1839.342,0.0,0
4.602,4.458,3.03,7.488,53,430,1814.788,0.0,0
4.586,4.413,3.023,7.437,59,488,1799.905,0.0,0
4.557,4.507,3.022,7.529,59,482,1839.769,0.0,0
4.577,4.477,3.022,7.498,91,419,1804.684,0.0,0
4.598,4.51,3.019,7.529,85,435,1759.114,0.0,0
4.584,4.422,3.025,7.447,93,418,1780.123,0.0,0
4.613,4.411,3.024,7.435,58,387,1825.659,0.0,0
4.542,4.453,3.023,7.476,56,371,1811.148,0.0,0
4.582,4.477,3.021,7.498,79,392,1784.851,0.0,0
4.559,4.553,3.024,7.577,79,463,1834.863,0.0,0
4.556,4.551,3.026,7.578,77,446,1838.867,0.0,0
4.58,4.565,3.032,7.597,69,487,1806.014,0.0,0
4.546,4.608,3.024,7.631,96,429,1863.597,0.0,0
4.579,4.608,3.017,7.625,101,400,1775.117,0.0,0
4.573,4.684,3.021,7.706,80,407,1786.62,0.0,0
4.584,4.682,3.014,7.696,99,470,1769.962,0.0,0
4.531,4.63,3.02,7.65,91,380,1798.207,0.0,0
4.548,4.728,3.022,7.751,75,399,1856.095,0.0,0
4.609,4.732,3.027,7.759,57,416,1834.963,0.0,0
4.613,4.793,3.022,7.814,75,457,1793.844,0.0,0
4.596,4.813,3.014,7.827,64,454,1832.056,0.0,0
4.585,4.831,3.012,7.843,84,451,1818.096,0.0,0
4.601,4.86,3.024,7.885,78,443,1745.325,0.0,0
4.565,4.847,3.02,7.867,56,449,1782.765,0.0,0
4.564,4.802,3.018,7.819,78,446,1832.393,0.0,0
4.595,4.787,3.011,7.798,75,366,1853.573,0.0,0
4.61,4.732,3.011,7.744,66,455,1786.938,0.0,0
4.604,4.774,3.004,7.777,75,446,1746.479,0.0,0
4.58,4.744,2.998,7.742,103,413,1823.269,0.0,0
4.564,4.69,2.993,7.682,87,480,1836.01,0.0,0
4.581,4.748,3.0,7.748,94,442,1869.462,0.0,0
4.587,4.71,3.002,7.712,87,429,1750.908,0.0,0
4.554,4.666,3.011,7.677,77,417,1859.66,0.0,0
4.621,4.713,3.014,7.727,69,402,1820.641,0.0,0
4.577,4.707,3.016,7.723,104,422,1762.223,0.0,0
4.555,4.648,3.024,7.672,105,434,1868.269,0.0,0
4.6,4.58,3.023,7.603,111,443,1851.362,0.0,0
4.571,4.52,3.023,7.543,84,433,1865.341,0.0,0
4.562,4.435,3.025,7.46,86,456,1807.314,0.0,0
4.568,4.471,3.025,7.496,83,459,1858.235,0.0,0
4.599,4.438,3.023,7.461,75,437,1860.93,0.0,0
4.558,4.422,3.022,7.444,100,460,1809.482,0.0,0
4.563,4.374,3.017,7.391,70,371,1781.89,0.0,0
4.56,4.286,3.014,7.3,97,384,1822.72,0.0,0
4.571,4.237,3.011,7.248,90,408,1861.761,0.0,0
4.576,4.262,3.016,7.278,122,449,1806.691,0.0,0
4.604,4.242,3.026,7.268,82,412,1841.185,0.0,0
4.586,4.158,3.025,7.183,101,413,1818.494,0.0,0
4.55,4.144,3.028,7.172,73,405,1862.215,0.0,0
4.582,4.257,3.015,7.272,80,444,1837.937,0.0,0
4.613,4.308,3.01,7.318,53,450,1796.598,0.0,0
4.586,4.335,3.015,7.351,66,461,1847.161,0.0,0
4.596,4.348,3.011,7.36,75,464,1834.323,0.0,0
4.638,4.443,3.006,7.449,79,492,1806.759,0.0,0
4.595,4.478,3.011,7.49,74,476,1812.367,0.0,0
4.575,4.409,3.021,7.429,74,436,1738.31,0.0,0
4.565,4.37,3.025,7.394,79,395,1797.323,0.0,0
4.561,4.346,3.034,7.38,87,408,1852.217,0.0,0
4.575,4.416,3.026,7.442,49,442,1878.405,0.0,0
4.581,4.45,3.027,7.477,60,424,1788.612,0.0,0
4.55,4.414,3.029,7.443,59,402,1851.788,0.0,0
4.601,4.324,3.032,7.356,88,420,1778.817,0.0,0
4.573,4.318,3.036,7.354,85,403,1770.562,0.0,0
4.603,4.398,3.026,7.424,63,454,1736.831,0.0,0
4.567,4.455,3.023,7.478,88,413,1867.702,0.0,0
4.55,4.425,3.025,7.45,100,428,1858.17,0.0,0
4.573,4.421,3.026,7.447,74,481,1810.457,0.0,0
4.604,4.442,3.02,7.462,82,422,1830.705,0.0,0
4.586,4.448,3.022,7.471,82,441,1823.797,0.0,0
4.58,4.536,3.029,7.565,67,463,1803.378,0.0,0
4.585,4.523,3.023,7.546,96,474,1861.443,0.0,0
4.561,4.485,3.019,7.503,81,395,1783.652,0.0,0
4.565,4.44,3.013,7.453,90,427,1781.427,0.0,0
4.584,4.449,3.016,7.465,89,424,1803.207,0.0,0
4.59,4.524,3.019,7.543,72,433,1829.311,0.0,0
4.576,4.533,3.016,7.549,72,389,1816.819,0.0,0
4.551,4.509,3.021,7.53,55,369,1798.441,0.0,0
4.535,4.505,3.011,7.516,64,387,1748.682,0.0,0
