gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.226,0.139,3.477,3.615,47,0,3.6,2.29,1900
5.172,0.137,3.481,3.617,39,0,3.6,2.29,1903
5.21,0.137,3.482,3.619,48,0,3.58,2.26,1905
5.262,0.142,3.474,3.616,51,0,3.56,2.26,1908
5.179,0.141,3.474,3.615,51,0,3.52,2.25,1913
5.208,0.142,3.472,3.615,39,0,3.53,2.26,1914
5.163,0.14,3.477,3.617,55,0,3.56,2.27,1915
5.176,0.137,3.471,3.609,43,0,3.57,2.27,1907
5.287,0.139,3.468,3.607,52,0,3.6,2.27,1896
5.229,0.14,3.454,3.593,42,0,3.59,2.28,1888
5.292,0.145,3.449,3.594,45,0,3.6,2.27,1884
5.336,0.143,3.445,3.588,42,0,3.57,2.26,1878
5.273,0.144,3.424,3.568,45,0,3.65,2.26,1845
5.386,0.145,3.428,3.573,45,0,3.67,2.28,1848
5.232,0.146,3.415,3.561,73,0,3.73,2.25,1823
5.344,0.142,3.424,3.566,56,0,3.71,2.27,1829
5.289,0.141,3.429,3.57,38,0,3.69,2.28,1841
5.283,0.141,3.424,3.565,56,0,3.76,2.27,1823
5.211,0.14,3.422,3.562,57,0,3.74,2.28,1821
5.246,0.141,3.411,3.552,59,0,3.72,2.24,1808
5.25,0.146,3.4,3.546,48,0,3.75,2.23,1794
5.238,0.142,3.403,3.545,39,0,3.73,2.21,1803
5.259,0.142,3.403,3.545,47,0,3.76,2.24,1804
5.303,0.136,3.406,3.542,62,0,3.74,2.23,1795
5.294,0.13,3.414,3.544,45,0,3.77,2.25,1798
5.366,0.134,3.406,3.54,59,0,3.77,2.25,1797
5.378,0.132,3.414,3.545,41,0,3.76,2.25,1798
5.351,0.128,3.415,3.543,48,0,3.78,2.24,1794
5.31,0.13,3.405,3.535,65,0,3.82,2.25,1783
5.28,0.133,3.396,3.529,47,0,3.84,2.24,1768
5.218,0.136,3.392,3.528,46,0,3.86,2.25,1761
5.313,0.137,3.378,3.515,46,0,3.86,2.24,1747
5.239,0.137,3.378,3.514,51,0,3.87,2.24,1750
5.246,0.137,3.386,3.523,76,0,3.86,2.26,1754
5.233,0.136,3.385,3.521,33,0,3.83,2.23,1757
5.261,0.136,3.391,3.527,63,0,3.83,2.23,1748
5.325,0.132,3.395,3.528,57,0,3.81,2.23,1761
5.28,0.131,3.4,3.531,39,0,3.87,2.29,1764
5.249,0.134,3.395,3.529,48,0,3.89,2.29,1752
5.204,0.129,3.408,3.537,58,0,3.82,2.23,1762
5.237,0.131,3.41,3.541,59,0,3.84,2.27,1757
5.211,0.129,3.422,3.551,48,0,3.8,2.26,1783
5.252,0.133,3.424,3.557,51,0,3.73,2.25,1794
5.256,0.129,3.437,3.566,51,0,3.7,2.24,1809
5.329,0.125,3.436,3.561,48,0,3.72,2.26,1817
5.289,0.128,3.418,3.546,75,0,3.71,2.23,1798
5.367,0.128,3.422,3.55,45,0,3.69,2.22,1799
5.45,0.129,3.442,3.571,58,0,3.61,2.2,1831
5.338,0.128,3.448,3.576,50,0,3.64,2.24,1837
5.353,0.135,3.44,3.575,76,0,3.67,2.23,1831
5.389,0.135,3.437,3.572,48,0,3.66,2.22,1829
5.289,0.133,3.446,3.579,51,0,3.65,2.25,1834
5.261,0.131,3.452,3.583,39,0,3.67,2.25,1841
5.255,0.134,3.449,3.583,50,0,3.65,2.24,1839
5.201,0.136,3.451,3.587,48,0,3.63,2.23,1843
5.241,0.135,3.462,3.597,42,0,3.64,2.27,1863
5.26,0.136,3.457,3.593,45,0,3.6,2.23,1858
5.227,0.136,3.449,3.585,51,0,3.6,2.21,1859
5.205,0.134,3.441,3.575,63,0,3.63,2.23,1850
5.328,0.137,3.437,3.574,33,0,3.68,2.27,1849
