gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.298,1.365,2.965,4.33,87,0,1750.443,343.601,584
5.313,1.388,2.982,4.37,86,0,1735.112,336.044,584
5.279,1.381,2.982,4.363,55,0,1842.092,358.752,584
5.254,1.438,2.987,4.425,89,0,1814.005,370.912,584
5.235,1.418,2.988,4.406,90,0,1819.437,368.179,584
5.208,1.434,2.989,4.423,73,0,1811.453,357.258,584
5.28,1.442,2.989,4.432,73,0,1815.869,363.579,584
5.286,1.465,2.992,4.457,68,0,1772.298,357.763,584
5.254,1.45,2.993,4.443,68,0,1812.597,362.434,584
5.281,1.466,2.985,4.451,53,0,1769.934,347.343,584
5.241,1.463,2.992,4.454,69,0,1805.051,358.786,584
5.285,1.449,2.999,4.448,88,0,1834.407,381.059,584
5.272,1.446,3.006,4.452,78,0,1875.775,358.326,584
5.311,1.468,3.004,4.473,91,0,1869.005,362.36,584
5.273,1.437,3.003,4.439,81,0,1813.589,333.738,584
5.244,1.431,2.99,4.422,71,0,1790.478,334.132,584
5.275,1.388,2.985,4.373,79,0,1845.522,359.443,584
5.22,1.365,2.977,4.342,55,0,1777.81,348.275,584
5.277,1.375,2.981,4.356,47,0,1779.309,346.369,584
5.228,1.355,2.981,4.336,92,0,1789.562,337.889,584
5.223,1.326,2.994,4.32,70,0,1822.082,335.978,584
5.247,1.314,3.013,4.328,75,0,1785.992,349.207,584
5.224,1.306,3.009,4.315,77,0,1803.723,347.1,584
5.261,1.333,3.008,4.341,71,0,1831.772,335.095,584
5.274,1.313,3.0,4.314,50,0,1799.74,365.58,584
5.234,1.304,3.003,4.307,80,0,1773.281,324.694,584
5.153,1.324,3.001,4.325,91,0,1781.489,327.782,584
5.239,1.271,3.01,4.281,81,0,1772.426,351.957,584
5.249,1.276,3.008,4.284,56,0,1841.133,361.933,584
5.288,1.276,2.996,4.271,72,0,1822.712,375.999,584
5.17,1.267,3.005,4.273,87,0,1792.892,371.357,584
5.146,1.237,3.005,4.242,66,0,1847.98,349.131,584
5.1,1.25,3.003,4.253,93,0,1768.775,354.862,584
5.122,1.225,3.008,4.233,57,0,1803.995,361.519,584
5.169,1.196,3.008,4.204,93,0,1785.801,354.626,584
5.167,1.182,3.004,4.186,89,0,1726.126,343.693,584
5.14,1.188,3.017,4.205,85,0,1803.316,334.897,584
5.184,1.167,3.017,4.184,94,0,1864.683,358.861,584
5.149,1.173,3.022,4.195,66,0,1888.76,361.102,584
5.247,1.18,3.032,4.213,83,0,1874.903,382.643,584
5.278,1.169,3.027,4.196,79,0,1841.261,369.16,584
5.202,1.137,3.037,4.174,71,0,1805.951,352.443,584
5.224,1.133,3.03,4.163,82,0,1807.588,361.52,584
5.251,1.177,3.037,4.214,81,0,1771.087,363.29,584
5.276,1.175,3.033,4.208,97,0,1857.384,361.426,584
5.272,1.156,3.019,4.175,76,0,1787.084,354.664,584
5.227,1.159,3.022,4.182,81,0,1795.485,372.273,584
5.317,1.129,3.015,4.143,65,0,1794.028,382.536,584
5.309,1.12,3.024,4.144,54,0,1836.634,367.244,584
5.219,1.112,3.028,4.14,54,0,1838.533,366.483,584
5.195,1.115,3.033,4.149,90,0,1852.769,358.36,584
5.286,1.114,3.044,4.158,43,0,1869.974,364.545,584
5.207,1.1,3.043,4.143,66,0,1884.149,377.603,584
5.255,1.092,3.037,4.129,79,0,1798.115,341.602,584
5.244,1.103,3.024,4.127,62,0,1813.52,353.282,584
5.31,1.088,3.036,4.125,89,0,1789.928,358.112,584
5.302,1.08,3.049,4.13,82,0,1804.736,365.164,584
5.256,1.049,3.052,4.101,70,0,1847.676,377.73,582
5.258,1.046,3.051,4.097,61,0,1872.723,383.709,584
5.202,1.019,3.061,4.08,67,0,1811.663,367.431,584
5.217,1.011,3.065,4.076,67,0,1846.261,371.724,584
5.199,1.029,3.045,4.075,71,0,1763.989,320.598,584
5.259,1.017,3.047,4.064,70,0,1812.817,358.919,583
5.3,1.029,3.029,4.058,59,0,1867.096,370.134,584
5.236,1.02,3.027,4.047,61,0,1836.195,371.601,584
5.333,0.986,3.021,4.007,75,0,1784.26,346.184,584
5.364,0.977,3.029,4.006,67,0,1833.155,349.882,584
5.288,0.976,3.031,4.007,64,0,1824.224,348.094,584
5.333,1.001,3.018,4.02,81,0,1743.222,336.789,584
5.281,1.031,3.001,4.032,70,0,1838.564,361.779,584
5.267,1.066,2.992,4.058,70,0,1726.404,353.809,584
5.281,1.099,2.98,4.079,85,0,1829.5,334.861,584
5.163,1.164,2.987,4.151,76,0,1848.176,363.189,584
5.344,1.215,2.992,4.207,70,0,1826.536,352.583,584
5.242,1.22,2.991,4.212,108,0,1837.616,369.583,584
5.269,1.215,2.996,4.212,121,0,1746.37,342.746,584
5.299,1.21,2.987,4.198,92,0,1783.336,352.993,584
5.346,1.211,2.994,4.205,111,0,1783.342,334.833,584
