gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.799,0.089,3.385,3.474,15,0
1.775,0.09,3.373,3.463,13,0
1.71,0.09,3.369,3.459,18,0
1.755,0.089,3.378,3.467,12,0
1.751,0.089,3.375,3.464,16,0
1.743,0.089,3.382,3.471,16,0
1.779,0.09,3.379,3.469,13,0
1.748,0.09,3.376,3.467,10,0
1.706,0.091,3.372,3.463,12,0
1.753,0.091,3.368,3.459,16,0
1.689,0.092,3.359,3.451,17,0
1.695,0.092,3.359,3.451,12,0
1.701,0.092,3.359,3.451,13,0
1.671,0.093,3.356,3.449,11,0
1.716,0.093,3.349,3.442,22,0
1.732,0.093,3.351,3.444,19,0
1.735,0.093,3.359,3.452,21,0
1.733,0.093,3.357,3.45,20,0
1.782,0.093,3.362,3.455,14,0
1.82,0.094,3.349,3.443,18,0
1.74,0.093,3.362,3.454,23,0
1.683,0.093,3.362,3.455,10,0
1.772,0.094,3.356,3.45,10,0
1.77,0.093,3.358,3.451,9,0
1.764,0.094,3.355,3.449,17,0
1.755,0.095,3.353,3.448,11,0
1.722,0.095,3.346,3.441,13,0
1.746,0.093,3.349,3.442,16,0
1.755,0.094,3.344,3.438,13,0
1.754,0.095,3.341,3.436,15,0
1.736,0.095,3.339,3.434,17,0
1.718,0.093,3.36,3.453,17,0
1.712,0.093,3.363,3.456,18,0
1.784,0.094,3.35,3.445,14,0
1.741,0.094,3.346,3.44,20,0
1.784,0.092,3.365,3.457,17,0
1.817,0.092,3.372,3.463,13,0
1.755,0.092,3.372,3.464,10,0
1.711,0.091,3.381,3.473,15,0
1.744,0.092,3.37,3.462,15,0
1.758,0.09,3.377,3.467,17,0
1.747,0.09,3.366,3.456,14,0
1.765,0.092,3.353,3.445,12,0
1.785,0.092,3.356,3.448,14,0
1.751,0.092,3.363,3.455,16,0
1.692,0.091,3.373,3.464,12,0
1.745,0.091,3.368,3.46,12,0
1.81,0.091,3.371,3.462,12,0
1.748,0.091,3.376,3.467,12,0
1.734,0.091,3.372,3.463,19,0
1.787,0.09,3.383,3.473,12,0
1.741,0.089,3.392,3.481,19,0
1.729,0.089,3.385,3.474,15,0
1.713,0.089,3.388,3.477,13,0
1.748,0.089,3.394,3.483,23,0
1.705,0.09,3.384,3.474,21,0
1.72,0.09,3.389,3.479,12,0
1.77,0.089,3.388,3.476,24,0
1.728,0.089,3.384,3.473,13,0
1.802,0.089,3.38,3.469,13,0
1.748,0.088,3.384,3.473,10,0
1.782,0.089,3.379,3.468,21,0
1.754,0.087,3.4,3.487,18,0
1.788,0.087,3.407,3.494,6,0
1.778,0.087,3.405,3.492,18,0
1.701,0.087,3.416,3.503,16,0
1.644,0.088,3.405,3.493,13,0
1.696,0.089,3.4,3.489,15,0
1.747,0.088,3.403,3.491,11,0
1.771,0.087,3.412,3.499,10,0
1.785,0.086,3.417,3.503,16,0
