gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.761,0.092,3.363,3.455,10,0
1.77,0.092,3.371,3.463,13,0
1.716,0.093,3.367,3.46,14,0
1.752,0.093,3.37,3.463,11,0
1.758,0.092,3.372,3.464,6,0
1.751,0.092,3.379,3.471,9,0
1.727,0.092,3.384,3.476,14,0
1.788,0.092,3.382,3.474,20,0
1.759,0.093,3.375,3.468,15,0
1.752,0.092,3.382,3.473,15,0
1.72,0.09,3.392,3.482,21,0
1.703,0.091,3.39,3.481,16,0
1.742,0.09,3.388,3.478,13,0
1.764,0.09,3.382,3.472,23,0
1.8,0.09,3.378,3.468,12,0
1.829,0.09,3.372,3.463,11,0
1.787,0.089,3.389,3.478,11,0
1.755,0.089,3.396,3.485,11,0
1.75,0.088,3.409,3.497,21,0
1.728,0.087,3.412,3.499,17,0
1.75,0.087,3.421,3.508,12,0
1.833,0.087,3.416,3.504,19,0
1.765,0.088,3.403,3.491,14,0
1.724,0.088,3.402,3.49,15,0
1.71,0.086,3.416,3.503,12,0
1.715,0.086,3.418,3.504,12,0
1.651,0.087,3.412,3.499,19,0
1.684,0.088,3.4,3.489,9,0
1.705,0.088,3.413,3.501,8,0
1.696,0.088,3.413,3.501,17,0
1.728,0.089,3.401,3.489,15,0
1.801,0.09,3.392,3.482,16,0
1.738,0.09,3.396,3.486,7,0
1.743,0.089,3.399,3.488,16,0
1.694,0.09,3.392,3.481,17,0
1.76,0.09,3.39,3.481,13,0
1.759,0.09,3.387,3.477,12,0
1.695,0.09,3.384,3.474,12,0
1.756,0.09,3.387,3.477,12,0
1.745,0.089,3.397,3.486,13,0
1.779,0.089,3.405,3.494,15,0
1.791,0.089,3.406,3.496,16,0
1.712,0.089,3.403,3.492,16,0
1.747,0.088,3.409,3.496,18,0
1.777,0.089,3.4,3.489,22,0
1.78,0.09,3.383,3.473,23,0
1.705,0.089,3.388,3.476,16,0
1.733,0.088,3.39,3.478,15,0
1.709,0.088,3.397,3.485,6,0
1.714,0.087,3.398,3.486,14,0
1.798,0.087,3.403,3.49,11,0
1.719,0.087,3.405,3.492,9,0
1.729,0.087,3.413,3.5,9,0
1.755,0.087,3.41,3.497,20,0
1.731,0.087,3.412,3.499,17,0
1.775,0.088,3.408,3.495,13,0
1.802,0.086,3.419,3.505,23,0
1.728,0.085,3.432,3.516,22,0
1.726,0.085,3.42,3.506,15,0
1.762,0.085,3.426,3.511,10,0
1.755,0.085,3.434,3.519,12,0
1.751,0.086,3.419,3.505,17,0
1.757,0.086,3.424,3.51,13,0
1.71,0.086,3.417,3.504,17,0
1.719,0.086,3.417,3.503,16,0
1.701,0.087,3.409,3.496,16,0
1.756,0.086,3.418,3.503,14,0
1.775,0.086,3.421,3.506,19,0
1.743,0.087,3.412,3.499,16,0
1.714,0.087,3.41,3.497,18,0
1.743,0.088,3.399,3.488,22,0
1.789,0.088,3.41,3.498,10,0
1.713,0.089,3.408,3.497,11,0
1.743,0.089,3.401,3.489,10,0
1.769,0.09,3.398,3.488,17,0
1.738,0.089,3.405,3.493,18,0
1.788,0.088,3.414,3.502,16,0
1.788,0.085,3.447,3.532,17,0
1.839,0.086,3.444,3.53,11,0
1.778,0.086,3.436,3.522,15,0
1.817,0.086,3.433,3.519,12,0
1.759,0.086,3.43,3.515,20,0
1.716,0.087,3.421,3.508,12,0
1.743,0.089,3.42,3.509,15,0
1.742,0.088,3.422,3.511,15,0
1.731,0.088,3.422,3.51,13,0
1.705,0.088,3.425,3.513,20,0
1.712,0.087,3.435,3.523,14,0
1.776,0.088,3.426,3.514,15,0
1.714,0.087,3.435,3.522,12,0
1.666,0.088,3.436,3.524,16,0
1.69,0.086,3.449,3.535,17,0
1.732,0.086,3.446,3.533,16,0
1.773,0.086,3.448,3.534,15,0
1.715,0.086,3.44,3.526,12,0
1.789,0.087,3.424,3.511,16,0
1.744,0.088,3.418,3.506,8,0
1.775,0.088,3.423,3.511,10,0
1.717,0.088,3.414,3.502,17,0
1.733,0.087,3.418,3.505,14,0
1.741,0.087,3.42,3.507,8,0
1.754,0.088,3.412,3.5,14,0
1.781,0.087,3.417,3.505,10,0
1.73,0.088,3.416,3.504,18,0
1.808,0.089,3.409,3.498,22,0
1.808,0.088,3.418,3.506,12,0
1.837,0.088,3.422,3.51,8,0
1.656,0.089,3.404,3.493,22,0
1.742,0.088,3.411,3.5,14,0
1.775,0.089,3.406,3.495,15,0
1.842,0.089,3.41,3.499,16,0
1.797,0.089,3.399,3.488,17,0
1.766,0.09,3.393,3.484,21,0
1.731,0.09,3.398,3.488,13,0
1.708,0.089,3.402,3.491,17,0
1.732,0.09,3.393,3.483,18,0
1.718,0.091,3.396,3.487,16,0
1.757,0.09,3.402,3.492,14,0
1.808,0.091,3.396,3.488,15,0
1.798,0.091,3.397,3.488,12,0
1.712,0.092,3.387,3.479,15,0
1.803,0.091,3.396,3.487,11,0
1.776,0.091,3.403,3.494,16,0
1.766,0.092,3.393,3.485,17,0
1.78,0.091,3.389,3.48,20,0
1.74,0.091,3.392,3.482,18,0
1.688,0.09,3.395,3.485,16,0
1.748,0.089,3.402,3.492,18,0
1.761,0.089,3.408,3.497,9,0
1.786,0.09,3.405,3.495,15,0
1.724,0.09,3.4,3.489,13,0
1.715,0.091,3.394,3.485,10,0
1.713,0.091,3.396,3.487,21,0
1.71,0.091,3.399,3.49,9,0
1.701,0.092,3.387,3.479,12,0
1.79,0.091,3.394,3.485,16,0
1.753,0.091,3.394,3.484,13,0
1.705,0.091,3.387,3.478,18,0
1.745,0.092,3.386,3.478,19,0
1.766,0.091,3.383,3.474,13,0
1.728,0.092,3.367,3.459,16,0
1.718,0.092,3.357,3.449,17,0
1.743,0.092,3.357,3.448,23,0
1.682,0.093,3.349,3.442,16,0
1.726,0.094,3.338,3.432,10,0
1.747,0.093,3.347,3.44,12,0
1.743,0.093,3.347,3.441,13,0
1.703,0.094,3.348,3.442,15,0
1.73,0.094,3.341,3.435,9,0
1.716,0.094,3.342,3.436,13,0
1.717,0.094,3.35,3.444,17,0
1.687,0.095,3.346,3.441,18,0
1.722,0.095,3.352,3.447,16,0
1.818,0.096,3.348,3.444,15,0
1.812,0.096,3.348,3.443,14,0
1.766,0.096,3.344,3.441,7,0
1.772,0.096,3.353,3.448,19,0
1.746,0.096,3.35,3.446,19,0
1.738,0.096,3.345,3.441,18,0
1.773,0.095,3.352,3.447,13,0
1.752,0.094,3.357,3.451,17,0
1.774,0.092,3.375,3.467,14,0
1.73,0.091,3.382,3.473,12,0
1.738,0.091,3.388,3.478,12,0
1.74,0.09,3.395,3.486,11,0
1.805,0.092,3.39,3.482,18,0
1.748,0.09,3.405,3.495,17,0
1.776,0.09,3.403,3.493,19,0
1.785,0.09,3.402,3.492,21,0
1.738,0.089,3.407,3.496,20,0
1.74,0.089,3.41,3.499,18,0
1.69,0.089,3.408,3.497,8,0
1.777,0.089,3.407,3.496,8,0
1.783,0.089,3.404,3.492,20,0
1.735,0.087,3.42,3.507,16,0
1.804,0.089,3.398,3.487,18,0
1.732,0.091,3.381,3.471,11,0
1.696,0.092,3.371,3.463,18,0
1.741,0.091,3.379,3.47,14,0
1.777,0.092,3.365,3.457,15,0
1.681,0.092,3.369,3.461,17,0
1.741,0.091,3.376,3.467,18,0
1.769,0.091,3.375,3.467,19,0
1.723,0.091,3.373,3.464,18,0
1.769,0.092,3.359,3.452,19,0
1.785,0.092,3.357,3.449,12,0
1.709,0.093,3.351,3.444,13,0
1.695,0.092,3.364,3.455,14,0
1.73,0.091,3.372,3.463,13,0
1.758,0.091,3.382,3.473,19,0
1.765,0.091,3.38,3.47,10,0
1.753,0.09,3.389,3.478,12,0
1.716,0.089,3.39,3.479,22,0
1.765,0.088,3.394,3.483,17,0
1.769,0.088,3.394,3.482,15,0
1.757,0.088,3.392,3.481,13,0
1.754,0.089,3.391,3.48,15,0
1.8,0.089,3.391,3.48,17,0
1.776,0.089,3.39,3.479,7,0
1.731,0.088,3.389,3.477,18,0
1.73,0.089,3.382,3.472,15,0
1.793,0.089,3.382,3.471,9,0
1.787,0.088,3.381,3.469,18,0
1.723,0.089,3.368,3.457,20,0
1.685,0.09,3.365,3.455,13,0
1.74,0.091,3.352,3.444,16,0
1.636,0.091,3.358,3.45,13,0
1.722,0.093,3.348,3.441,16,0
1.705,0.092,3.357,3.449,13,0
1.695,0.092,3.367,3.458,9,0
1.749,0.091,3.371,3.462,10,0
1.78,0.092,3.371,3.462,12,0
1.787,0.092,3.368,3.46,8,0
1.791,0.093,3.357,3.45,15,0
1.781,0.09,3.375,3.465,17,0
1.771,0.09,3.373,3.464,15,0
1.764,0.089,3.385,3.475,6,0
1.719,0.089,3.393,3.482,21,0
1.792,0.089,3.385,3.474,17,0
1.753,0.089,3.386,3.475,15,0
1.794,0.089,3.387,3.476,13,0
1.696,0.09,3.386,3.476,15,0
1.758,0.09,3.385,3.476,16,0
1.721,0.09,3.394,3.484,16,0
1.758,0.09,3.392,3.482,7,0
1.763,0.09,3.394,3.484,10,0
1.739,0.09,3.387,3.477,9,0
1.778,0.09,3.384,3.474,12,0
1.794,0.09,3.386,3.476,13,0
1.731,0.091,3.381,3.472,14,0
1.761,0.092,3.376,3.468,22,0
1.748,0.091,3.388,3.479,16,0
1.771,0.089,3.406,3.495,18,0
1.736,0.089,3.408,3.496,17,0
1.72,0.09,3.398,3.489,23,0
1.748,0.089,3.401,3.49,15,0
1.772,0.09,3.406,3.496,14,0
1.77,0.091,3.394,3.484,18,0
1.764,0.091,3.385,3.476,11,0
1.765,0.092,3.379,3.471,10,0
1.787,0.092,3.374,3.466,23,0
1.793,0.093,3.377,3.47,20,0
1.757,0.092,3.382,3.474,15,0
1.797,0.092,3.387,3.479,6,0
1.823,0.092,3.393,3.485,13,0
1.797,0.093,3.385,3.478,17,0
1.794,0.093,3.384,3.478,12,0
1.718,0.091,3.4,3.491,13,0
1.735,0.091,3.406,3.497,14,0
1.633,0.092,3.399,3.49,18,0
1.769,0.092,3.393,3.484,18,0
1.743,0.091,3.393,3.484,16,0
1.724,0.091,3.395,3.486,18,0
1.766,0.09,3.404,3.494,17,0
1.757,0.09,3.407,3.497,16,0
1.789,0.091,3.403,3.493,15,0
1.718,0.091,3.395,3.487,14,0
1.739,0.092,3.403,3.495,16,0
1.744,0.091,3.406,3.497,13,0
1.729,0.092,3.407,3.498,19,0
1.699,0.092,3.405,3.497,17,0
1.765,0.091,3.415,3.506,12,0
1.782,0.091,3.405,3.496,16,0
1.788,0.09,3.417,3.507,18,0
1.792,0.089,3.426,3.515,15,0
1.83,0.087,3.44,3.527,19,0
1.733,0.087,3.444,3.531,13,0
1.795,0.088,3.435,3.523,13,0
1.769,0.089,3.429,3.518,14,0
1.709,0.089,3.436,3.525,13,0
1.743,0.09,3.424,3.514,14,0
1.713,0.091,3.417,3.507,16,0
1.708,0.091,3.41,3.501,16,0
1.712,0.092,3.406,3.498,21,0
1.689,0.092,3.404,3.496,15,0
1.743,0.091,3.404,3.495,23,0
1.765,0.09,3.411,3.501,15,0
1.741,0.092,3.398,3.49,11,0
1.681,0.093,3.393,3.486,10,0
1.651,0.093,3.386,3.478,13,0
1.731,0.093,3.381,3.473,10,0
1.72,0.091,3.388,3.479,18,0
1.757,0.091,3.384,3.476,14,0
1.733,0.091,3.381,3.472,11,0
1.673,0.092,3.367,3.459,13,0
1.727,0.092,3.373,3.465,23,0
1.731,0.092,3.376,3.468,9,0
1.737,0.091,3.38,3.471,17,0
1.719,0.091,3.378,3.469,19,0
1.802,0.092,3.366,3.457,17,0
1.784,0.092,3.359,3.452,18,0
1.779,0.093,3.357,3.45,16,0
1.777,0.095,3.344,3.44,24,0
1.727,0.096,3.342,3.437,15,0
1.776,0.095,3.346,3.441,13,0
1.802,0.094,3.345,3.439,13,0
1.78,0.093,3.366,3.459,18,0
1.727,0.092,3.383,3.474,13,0
1.734,0.091,3.382,3.473,17,0
1.753,0.092,3.365,3.457,13,0
1.765,0.093,3.36,3.453,7,0
1.739,0.094,3.353,3.447,15,0
1.702,0.094,3.35,3.444,17,0
1.763,0.094,3.365,3.459,16,0
1.763,0.094,3.36,3.454,17,0
1.81,0.095,3.352,3.447,14,0
1.77,0.096,3.353,3.449,13,0
1.742,0.095,3.365,3.46,15,0
1.793,0.094,3.372,3.467,9,0
1.734,0.095,3.367,3.462,12,0
1.74,0.095,3.365,3.46,16,0
1.796,0.096,3.359,3.455,15,0
1.753,0.096,3.353,3.449,13,0
1.767,0.096,3.361,3.458,18,0
1.729,0.097,3.359,3.456,15,0
1.737,0.098,3.36,3.458,12,0
1.849,0.099,3.352,3.451,19,0
1.814,0.099,3.351,3.45,15,0
1.724,0.099,3.346,3.446,13,0
1.688,0.099,3.358,3.457,14,0
1.667,0.099,3.367,3.465,16,0
1.72,0.098,3.372,3.47,19,0
1.801,0.097,3.381,3.478,12,0
1.777,0.098,3.37,3.468,16,0
1.728,0.098,3.382,3.479,9,0
1.809,0.096,3.394,3.49,13,0
1.786,0.095,3.404,3.499,16,0
1.759,0.094,3.407,3.501,24,0
1.752,0.091,3.426,3.518,22,0
1.757,0.091,3.424,3.515,15,0
1.735,0.089,3.44,3.529,14,0
1.745,0.09,3.43,3.52,15,0
1.736,0.09,3.424,3.515,9,0
1.717,0.09,3.423,3.513,12,0
1.724,0.09,3.416,3.506,11,0
1.751,0.09,3.408,3.498,13,0
1.734,0.09,3.408,3.497,14,0
1.762,0.089,3.41,3.499,18,0
1.724,0.089,3.411,3.5,14,0
1.843,0.09,3.405,3.495,16,0
1.745,0.091,3.4,3.491,21,0
1.755,0.091,3.407,3.497,14,0
1.742,0.091,3.408,3.499,16,0
1.763,0.091,3.404,3.495,15,0
1.796,0.093,3.39,3.482,13,0
1.82,0.092,3.397,3.489,18,0
1.784,0.093,3.397,3.49,16,0
1.791,0.093,3.391,3.484,9,0
1.787,0.093,3.39,3.483,11,0
1.837,0.091,3.397,3.488,12,0
1.711,0.09,3.41,3.5,16,0
1.673,0.089,3.421,3.51,27,0
1.764,0.089,3.43,3.518,15,0
1.766,0.09,3.421,3.511,16,0
1.744,0.09,3.414,3.504,12,0
1.753,0.09,3.416,3.505,11,0
1.776,0.089,3.42,3.509,13,0
1.68,0.089,3.413,3.502,6,0
1.758,0.089,3.417,3.506,14,0
1.765,0.088,3.42,3.508,8,0
1.645,0.088,3.418,3.506,12,0
1.778,0.089,3.409,3.498,20,0
1.709,0.088,3.42,3.508,11,0
1.731,0.088,3.421,3.509,19,0
1.739,0.089,3.415,3.503,17,0
1.713,0.089,3.414,3.503,7,0
1.702,0.089,3.411,3.5,12,0
1.749,0.091,3.4,3.491,16,0
1.773,0.092,3.399,3.491,11,0
1.774,0.092,3.401,3.492,11,0
1.777,0.091,3.407,3.498,18,0
1.773,0.091,3.401,3.492,16,0
1.742,0.092,3.388,3.48,14,0
1.742,0.09,3.393,3.483,21,0
1.745,0.091,3.39,3.481,15,0
1.707,0.089,3.402,3.491,11,0
1.719,0.09,3.402,3.492,12,0
1.708,0.089,3.412,3.501,11,0
1.807,0.09,3.407,3.497,18,0
1.789,0.09,3.406,3.496,11,0
1.778,0.09,3.407,3.497,8,0
1.747,0.089,3.419,3.509,13,0
1.72,0.091,3.401,3.492,16,0
1.766,0.092,3.387,3.48,15,0
1.748,0.093,3.378,3.471,11,0
1.737,0.094,3.364,3.458,23,0
1.759,0.092,3.376,3.468,13,0
1.742,0.092,3.38,3.472,15,0
1.752,0.093,3.366,3.458,15,0
1.724,0.092,3.373,3.465,14,0
1.748,0.092,3.378,3.47,13,0
1.702,0.093,3.361,3.453,21,0
1.751,0.093,3.366,3.459,13,0
1.678,0.093,3.357,3.451,20,0
1.728,0.094,3.346,3.44,16,0
1.743,0.094,3.345,3.439,11,0
1.828,0.094,3.345,3.439,12,0
1.806,0.093,3.348,3.441,15,0
1.735,0.094,3.339,3.433,16,0
1.667,0.094,3.339,3.433,13,0
1.668,0.094,3.341,3.436,19,0
1.745,0.095,3.327,3.422,14,0
1.76,0.095,3.326,3.421,19,0
1.696,0.097,3.315,3.412,12,0
1.712,0.097,3.319,3.416,18,0
1.775,0.097,3.324,3.42,16,0
1.779,0.095,3.332,3.428,14,0
1.788,0.094,3.346,3.44,20,0
1.806,0.092,3.368,3.46,12,0
1.796,0.091,3.376,3.466,11,0
1.713,0.091,3.378,3.469,12,0
1.783,0.092,3.363,3.455,17,0
1.806,0.092,3.366,3.458,11,0
1.731,0.091,3.372,3.463,14,0
1.781,0.091,3.375,3.466,17,0
1.723,0.091,3.371,3.463,18,0
1.734,0.091,3.368,3.459,20,0
1.757,0.091,3.372,3.463,14,0
1.755,0.091,3.364,3.454,15,0
1.719,0.09,3.369,3.46,12,0
1.74,0.09,3.374,3.464,16,0
1.762,0.089,3.371,3.46,21,0
1.742,0.09,3.37,3.461,14,0
1.708,0.088,3.382,3.471,16,0
1.754,0.088,3.39,3.478,12,0
1.753,0.089,3.395,3.483,11,0
1.778,0.089,3.388,3.477,11,0
1.79,0.089,3.388,3.477,11,0
1.693,0.089,3.383,3.473,15,0
1.731,0.089,3.382,3.471,16,0
1.762,0.09,3.37,3.46,15,0
1.738,0.09,3.369,3.459,13,0
1.761,0.09,3.37,3.46,15,0
1.708,0.089,3.383,3.473,16,0
1.783,0.089,3.388,3.477,13,0
1.688,0.088,3.4,3.488,14,0
1.802,0.088,3.398,3.486,15,0
1.802,0.088,3.401,3.489,13,0
1.745,0.087,3.404,3.492,16,0
1.757,0.087,3.395,3.483,22,0
1.706,0.087,3.394,3.481,8,0
1.698,0.088,3.398,3.486,15,0
1.75,0.088,3.403,3.49,15,0
1.709,0.088,3.398,3.487,13,0
1.742,0.088,3.396,3.484,7,0
1.731,0.089,3.388,3.477,9,0
1.743,0.088,3.398,3.486,19,0
1.785,0.087,3.417,3.503,12,0
1.737,0.086,3.424,3.511,15,0
1.732,0.086,3.422,3.508,18,0
1.743,0.086,3.429,3.514,23,0
1.765,0.085,3.436,3.521,16,0
1.727,0.086,3.429,3.515,11,0
1.73,0.086,3.425,3.511,11,0
1.725,0.087,3.42,3.507,19,0
1.715,0.088,3.411,3.499,9,0
1.715,0.088,3.41,3.498,16,0
1.817,0.089,3.406,3.495,15,0
1.76,0.09,3.404,3.494,18,0
1.744,0.091,3.39,3.481,24,0
1.66,0.092,3.387,3.479,12,0
1.728,0.092,3.385,3.477,13,0
1.709,0.093,3.376,3.469,14,0
1.706,0.093,3.368,3.462,14,0
1.768,0.093,3.374,3.467,16,0
1.7,0.094,3.369,3.463,14,0
1.788,0.093,3.373,3.466,17,0
1.769,0.092,3.384,3.476,14,0
1.767,0.093,3.383,3.475,17,0
1.782,0.092,3.379,3.471,18,0
1.734,0.092,3.381,3.473,14,0
1.733,0.092,3.384,3.476,14,0
1.779,0.091,3.385,3.476,15,0
1.772,0.091,3.389,3.48,11,0
1.747,0.09,3.393,3.483,15,0
1.738,0.09,3.388,3.478,19,0
1.713,0.089,3.397,3.486,14,0
1.782,0.089,3.406,3.494,16,0
1.809,0.089,3.404,3.493,16,0
1.737,0.088,3.401,3.49,11,0
1.782,0.089,3.406,3.494,17,0
1.794,0.088,3.408,3.496,9,0
1.721,0.088,3.411,3.499,12,0
1.764,0.089,3.406,3.495,12,0
1.761,0.089,3.401,3.49,20,0
1.712,0.089,3.404,3.494,20,0
1.778,0.09,3.406,3.496,16,0
1.796,0.088,3.418,3.506,15,0
1.766,0.089,3.411,3.5,15,0
1.751,0.089,3.408,3.496,6,0
1.794,0.089,3.403,3.491,14,0
1.743,0.089,3.402,3.491,19,0
1.795,0.087,3.414,3.501,16,0
1.749,0.088,3.415,3.502,12,0
1.828,0.089,3.401,3.489,16,0
1.81,0.088,3.41,3.498,20,0
1.758,0.088,3.41,3.498,17,0
1.79,0.089,3.405,3.494,14,0
1.743,0.089,3.411,3.5,14,0
1.706,0.089,3.419,3.507,18,0
1.71,0.088,3.422,3.511,16,0
1.716,0.088,3.427,3.516,10,0
1.753,0.089,3.427,3.516,10,0
1.792,0.09,3.422,3.512,17,0
1.779,0.089,3.434,3.523,11,0
1.817,0.089,3.427,3.516,18,0
1.799,0.089,3.416,3.506,15,0
1.731,0.089,3.423,3.511,15,0
1.72,0.089,3.432,3.521,16,0
1.773,0.089,3.431,3.519,15,0
1.757,0.089,3.429,3.519,17,0
1.757,0.088,3.44,3.528,14,0
1.755,0.088,3.444,3.532,10,0
1.776,0.088,3.444,3.531,10,0
1.74,0.087,3.452,3.539,19,0
1.74,0.086,3.457,3.543,14,0
1.744,0.086,3.456,3.542,9,0
1.759,0.086,3.459,3.545,14,0
1.791,0.086,3.458,3.545,21,0
1.849,0.085,3.47,3.555,20,0
1.77,0.085,3.482,3.566,16,0
1.739,0.086,3.471,3.556,13,0
1.737,0.087,3.462,3.549,10,0
1.714,0.088,3.456,3.544,12,0
1.733,0.089,3.446,3.534,12,0
1.786,0.09,3.433,3.524,17,0
1.792,0.09,3.436,3.526,13,0
1.757,0.088,3.451,3.539,15,0
1.761,0.09,3.44,3.53,13,0
1.739,0.09,3.435,3.525,12,0
1.747,0.09,3.433,3.523,16,0
1.742,0.089,3.441,3.53,24,0
1.757,0.089,3.439,3.528,13,0
1.751,0.089,3.442,3.53,23,0
1.765,0.089,3.432,3.521,18,0
1.769,0.088,3.439,3.528,12,0
1.754,0.089,3.439,3.527,17,0
1.786,0.088,3.445,3.533,15,0
1.772,0.088,3.444,3.532,18,0
1.813,0.088,3.442,3.53,12,0
1.764,0.089,3.432,3.521,15,0
1.773,0.089,3.433,3.522,14,0
1.721,0.087,3.45,3.537,12,0
1.812,0.087,3.45,3.537,18,0
1.826,0.088,3.44,3.528,17,0
1.794,0.089,3.434,3.523,17,0
1.72,0.089,3.434,3.523,10,0
1.763,0.09,3.425,3.515,16,0
1.752,0.09,3.424,3.514,15,0
1.756,0.09,3.418,3.508,11,0
1.755,0.091,3.409,3.5,16,0
1.764,0.092,3.396,3.488,16,0
1.754,0.091,3.409,3.5,15,0
1.811,0.09,3.414,3.504,15,0
1.821,0.09,3.414,3.505,13,0
1.753,0.09,3.419,3.509,14,0
1.746,0.091,3.409,3.5,16,0
1.729,0.092,3.404,3.497,17,0
1.705,0.091,3.42,3.511,17,0
1.712,0.092,3.414,3.506,9,0
1.738,0.093,3.406,3.499,13,0
1.813,0.093,3.41,3.503,10,0
1.692,0.092,3.418,3.51,7,0
1.73,0.092,3.421,3.514,8,0
1.787,0.092,3.422,3.514,12,0
1.783,0.092,3.425,3.517,23,0
1.794,0.092,3.432,3.524,10,0
1.799,0.092,3.434,3.526,15,0
1.739,0.092,3.437,3.529,14,0
1.804,0.091,3.436,3.527,14,0
1.799,0.09,3.438,3.528,14,0
1.791,0.09,3.425,3.516,20,0
1.735,0.09,3.419,3.509,19,0
1.681,0.09,3.409,3.499,15,0
1.739,0.09,3.403,3.493,15,0
1.737,0.09,3.409,3.499,24,0
1.774,0.089,3.413,3.502,19,0
1.79,0.09,3.409,3.499,18,0
1.756,0.091,3.402,3.493,13,0
1.823,0.09,3.404,3.494,10,0
1.768,0.089,3.408,3.497,15,0
1.717,0.089,3.414,3.503,20,0
1.805,0.089,3.421,3.51,14,0
1.732,0.088,3.418,3.506,20,0
1.672,0.087,3.435,3.522,17,0
1.728,0.085,3.443,3.528,24,0
1.741,0.086,3.44,3.526,10,0
1.734,0.086,3.442,3.528,12,0
1.818,0.086,3.439,3.525,17,0
1.75,0.086,3.431,3.517,17,0
1.815,0.085,3.437,3.521,12,0
1.719,0.086,3.43,3.516,16,0
1.778,0.085,3.429,3.514,12,0
1.751,0.084,3.435,3.52,9,0
1.803,0.083,3.44,3.524,9,0
1.757,0.083,3.443,3.526,10,0
1.777,0.084,3.444,3.527,15,0
1.765,0.083,3.45,3.533,26,0
1.764,0.083,3.461,3.544,15,0
1.782,0.083,3.462,3.546,14,0
1.821,0.084,3.459,3.543,14,0
1.767,0.083,3.464,3.547,9,0
1.755,0.083,3.47,3.553,8,0
1.722,0.083,3.468,3.551,15,0
1.782,0.083,3.461,3.544,16,0
1.748,0.082,3.481,3.563,17,0
1.709,0.082,3.485,3.567,8,0
1.767,0.082,3.49,3.571,15,0
1.717,0.082,3.491,3.574,28,0
1.708,0.082,3.495,3.577,11,0
1.784,0.083,3.495,3.578,15,0
1.759,0.084,3.483,3.567,18,0
1.716,0.085,3.477,3.562,12,0
1.742,0.085,3.481,3.566,14,0
1.823,0.085,3.481,3.567,14,0
1.732,0.085,3.485,3.571,10,0
1.804,0.086,3.478,3.564,11,0
1.747,0.087,3.463,3.55,18,0
1.734,0.087,3.46,3.547,17,0
1.753,0.088,3.455,3.542,12,0
1.705,0.088,3.45,3.539,8,0
1.769,0.089,3.443,3.532,13,0
1.826,0.089,3.437,3.526,15,0
1.733,0.089,3.438,3.527,13,0
1.77,0.088,3.443,3.531,11,0
1.792,0.089,3.439,3.527,13,0
1.802,0.088,3.447,3.535,15,0
1.799,0.087,3.443,3.53,21,0
1.754,0.087,3.447,3.534,16,0
1.744,0.086,3.455,3.541,12,0
1.763,0.084,3.459,3.543,24,0
1.745,0.083,3.463,3.547,19,0
1.724,0.085,3.449,3.534,13,0
1.763,0.085,3.441,3.527,16,0
1.729,0.087,3.427,3.514,12,0
1.795,0.086,3.423,3.509,14,0
1.719,0.086,3.416,3.502,16,0
1.83,0.086,3.422,3.508,16,0
1.787,0.087,3.424,3.51,19,0
1.715,0.086,3.42,3.506,16,0
1.773,0.086,3.429,3.515,17,0
1.691,0.087,3.423,3.51,20,0
1.726,0.088,3.415,3.503,13,0
1.727,0.089,3.413,3.502,12,0
1.756,0.09,3.406,3.496,16,0
1.76,0.09,3.41,3.5,7,0
1.797,0.09,3.407,3.497,9,0
1.765,0.09,3.41,3.5,20,0
1.76,0.091,3.408,3.499,14,0
1.773,0.092,3.392,3.484,16,0
1.751,0.091,3.395,3.485,10,0
1.752,0.092,3.389,3.481,16,0
1.728,0.091,3.395,3.486,7,0
1.822,0.09,3.408,3.498,15,0
1.794,0.089,3.425,3.514,17,0
1.71,0.089,3.422,3.511,11,0
1.759,0.089,3.424,3.513,14,0
1.768,0.089,3.428,3.517,11,0
1.765,0.089,3.429,3.518,11,0
1.773,0.089,3.419,3.508,20,0
1.794,0.089,3.424,3.513,11,0
1.702,0.088,3.427,3.515,15,0
1.786,0.088,3.432,3.52,13,0
1.792,0.089,3.435,3.524,20,0
1.723,0.088,3.444,3.532,21,0
1.758,0.088,3.439,3.527,18,0
1.753,0.088,3.438,3.526,14,0
1.712,0.087,3.44,3.528,17,0
1.722,0.088,3.437,3.525,20,0
1.715,0.087,3.443,3.53,13,0
1.788,0.087,3.439,3.526,17,0
1.768,0.088,3.427,3.515,18,0
1.778,0.088,3.434,3.522,14,0
1.766,0.088,3.435,3.523,17,0
1.761,0.088,3.436,3.524,11,0
1.797,0.089,3.432,3.52,14,0
1.752,0.09,3.424,3.514,16,0
1.72,0.089,3.43,3.519,14,0
1.702,0.089,3.42,3.509,15,0
1.783,0.088,3.435,3.524,19,0
1.799,0.088,3.434,3.523,17,0
1.76,0.088,3.44,3.528,11,0
1.805,0.087,3.44,3.528,12,0
1.745,0.086,3.457,3.543,15,0
1.768,0.086,3.452,3.538,10,0
1.735,0.086,3.449,3.536,13,0
1.771,0.086,3.448,3.534,15,0
1.789,0.086,3.455,3.541,14,0
1.709,0.086,3.457,3.544,15,0
1.693,0.086,3.457,3.543,13,0
1.723,0.085,3.459,3.544,8,0
1.736,0.086,3.448,3.534,13,0
1.689,0.086,3.44,3.526,15,0
1.759,0.085,3.44,3.525,17,0
1.738,0.085,3.439,3.525,22,0
1.704,0.085,3.445,3.53,16,0
1.735,0.086,3.439,3.525,17,0
1.732,0.085,3.44,3.525,11,0
