gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.236,0.781,3.384,4.165,2950,0,1839.961,707.947,1167
5.213,0.751,3.377,4.128,200,0,1765.283,710.6,1167
5.173,0.746,3.368,4.114,71,0,1776.978,712.02,1167
5.209,0.766,3.357,4.123,43,0,1775.298,667.224,1167
5.137,0.76,3.346,4.106,72,0,1897.96,744.849,1151
5.142,0.757,3.355,4.112,98,0,1825.437,710.758,1167
5.117,0.76,3.333,4.093,53,0,1819.633,671.464,1167
5.191,0.752,3.333,4.085,45,0,1855.029,769.313,1167
5.14,0.756,3.336,4.092,44,0,1820.004,702.76,1167
5.187,0.741,3.346,4.087,57,0,1771.898,679.897,1167
5.186,0.742,3.345,4.087,47,0,1735.4,692.558,1167
5.147,0.716,3.345,4.06,49,0,1821.298,711.58,1167
5.207,0.695,3.341,4.035,60,0,1779.23,695.674,1167
5.164,0.68,3.339,4.018,70,0,1850.127,720.485,1167
5.179,0.672,3.343,4.015,44,0,1791.358,697.249,1167
5.245,0.664,3.347,4.011,52,0,1815.43,684.249,1167
5.176,0.658,3.336,3.993,45,0,1877.69,739.543,1167
5.264,0.619,3.329,3.948,77,0,1769.432,668.31,1167
5.172,0.607,3.323,3.929,69,0,1804.172,690.618,1167
5.266,0.602,3.318,3.92,52,0,1829.052,729.526,1167
5.218,0.592,3.316,3.908,30,0,1788.647,681.682,1167
5.308,0.588,3.31,3.898,61,0,1807.703,706.597,1167
5.208,0.584,3.293,3.878,63,0,1800.145,696.271,1167
5.258,0.575,3.285,3.86,61,0,1811.896,684.692,1167
5.284,0.548,3.277,3.825,55,0,1748.019,706.204,1167
5.259,0.578,3.276,3.854,51,0,1791.575,688.693,1167
5.193,0.578,3.284,3.862,63,0,1764.256,695.845,1167
5.207,0.576,3.28,3.857,65,0,1808.898,692.913,1167
5.217,0.567,3.267,3.834,63,0,1775.63,675.005,1163
5.249,0.547,3.27,3.817,96,0,1839.632,737.973,1167
5.236,0.555,3.25,3.805,62,0,1847.128,698.853,1167
5.241,0.556,3.26,3.816,63,0,1832.481,729.81,1167
5.297,0.56,3.262,3.822,36,0,1863.112,691.557,1167
5.218,0.563,3.262,3.825,42,0,1909.97,790.166,1167
5.231,0.566,3.258,3.823,44,0,1803.44,691.308,1167
5.297,0.571,3.27,3.841,60,0,1793.817,706.121,1167
5.273,0.569,3.274,3.843,59,0,1762.433,718.967,1167
5.198,0.585,3.277,3.862,54,0,1788.46,709.618,1167
5.338,0.592,3.269,3.86,55,0,1816.961,672.644,1167
5.229,0.591,3.254,3.845,66,0,1749.225,664.779,1167
5.29,0.594,3.258,3.853,59,0,1826.449,706.127,1167
5.263,0.604,3.253,3.857,38,0,1826.575,715.043,1167
5.314,0.592,3.253,3.846,66,0,1802.701,687.398,1167
5.218,0.601,3.249,3.85,39,0,1848.428,719.796,1167
5.2,0.594,3.248,3.842,69,0,1819.251,704.858,1167
5.2,0.602,3.245,3.847,40,0,1776.956,721.288,1167
5.176,0.591,3.236,3.828,83,0,1800.277,715.289,1167
5.281,0.596,3.218,3.815,85,0,1754.371,686.19,1167
5.23,0.595,3.217,3.812,33,0,1839.208,729.924,1167
5.256,0.594,3.209,3.803,49,0,1793.539,696.324,1167
5.263,0.583,3.21,3.793,51,0,1908.762,744.856,1167
5.288,0.582,3.204,3.786,60,0,1818.942,706.167,1167
5.356,0.574,3.197,3.771,72,0,1800.748,703.467,1167
5.256,0.572,3.198,3.77,48,0,1850.279,737.437,1167
5.256,0.554,3.21,3.764,77,0,1819.998,707.01,1167
5.292,0.557,3.224,3.782,60,0,1807.922,683.108,1167
5.263,0.557,3.234,3.791,51,0,1788.343,684.282,1167
5.168,0.557,3.237,3.793,59,0,1785.124,710.199,1167
5.274,0.542,3.245,3.787,72,0,1784.671,682.986,1165
5.259,0.542,3.238,3.78,41,0,1776.435,699.869,1167
5.242,0.544,3.247,3.79,57,0,1833.446,729.739,1166
5.225,0.551,3.24,3.791,46,0,1901.805,721.173,1167
5.249,0.542,3.244,3.786,60,0,1758.202,692.578,1167
5.229,0.535,3.232,3.768,62,0,1764.367,679.362,1167
5.207,0.532,3.228,3.76,55,0,1847.472,715.293,1167
5.195,0.542,3.216,3.758,57,0,1754.83,697.541,1167
5.177,0.564,3.215,3.779,63,0,1824.388,734.177,1167
5.189,0.558,3.217,3.774,38,0,1780.429,700.626,1167
5.226,0.556,3.214,3.77,48,0,1855.465,703.188,1167
5.203,0.555,3.211,3.766,60,0,1801.811,719.513,1167
5.198,0.555,3.214,3.77,68,0,1832.619,711.269,1167
5.184,0.558,3.215,3.773,72,0,1796.169,706.598,1167
5.238,0.565,3.208,3.774,52,0,1867.897,724.313,1167
5.291,0.562,3.203,3.765,29,0,1775.831,662.439,1167
5.261,0.557,3.202,3.759,71,0,1874.763,732.751,1167
5.235,0.545,3.203,3.748,37,0,1748.92,685.963,1167
5.235,0.548,3.195,3.742,51,0,1816.401,696.772,1166
5.24,0.552,3.187,3.738,55,0,1798.695,669.111,1166
5.216,0.548,3.179,3.727,47,0,1781.864,712.742,1164
5.275,0.543,3.167,3.709,79,0,1858.788,716.711,1167
5.247,0.53,3.165,3.695,66,0,1812.248,715.092,1167
5.192,0.531,3.163,3.694,76,0,1818.196,688.85,1167
5.272,0.533,3.175,3.708,59,0,1761.894,685.651,1167
5.212,0.54,3.147,3.688,82,0,1795.871,690.954,1167
5.25,0.542,3.149,3.691,57,0,1826.218,721.051,1164
5.247,0.542,3.153,3.695,59,0,1771.599,703.648,1167
5.238,0.545,3.147,3.692,58,0,1807.233,688.268,1167
5.24,0.554,3.152,3.707,65,0,1783.617,685.771,1166
5.244,0.569,3.138,3.707,55,0,1805.409,726.461,1167
5.192,0.569,3.129,3.698,46,0,1846.743,732.774,1167
5.178,0.563,3.132,3.696,74,0,1841.768,716.315,1167
5.186,0.564,3.138,3.702,65,0,1864.327,731.931,1167
5.198,0.574,3.143,3.716,59,0,1825.546,719.829,1167
5.193,0.58,3.136,3.715,52,0,1868.066,723.583,1167
5.19,0.571,3.138,3.709,51,0,1842.014,744.855,1167
5.217,0.582,3.133,3.715,76,0,1872.214,721.08,1167
5.274,0.589,3.139,3.728,41,0,1804.531,687.6,1167
5.279,0.583,3.137,3.721,63,0,1800.991,715.608,1167
5.275,0.584,3.145,3.729,48,0,1784.99,709.773,1167
5.252,0.599,3.144,3.743,52,0,1797.753,693.779,1167
5.194,0.598,3.147,3.745,64,0,1869.258,741.758,1167
5.145,0.605,3.152,3.757,19,0,1789.713,665.88,1167
5.204,0.587,3.154,3.74,57,0,1810.24,714.401,1167
5.245,0.587,3.152,3.738,50,0,1855.252,726.314,1167
5.288,0.597,3.147,3.743,50,0,1843.188,723.048,1167
5.271,0.582,3.155,3.738,56,0,1801.997,708.158,1167
5.237,0.567,3.157,3.724,58,0,1730.543,681.424,1167
