gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
4.76,2.853,3.329,6.182,22,15,2.49,0,0
4.91,2.715,3.375,6.09,23,15,2.48,0,0
5.21,2.853,3.332,6.185,25,14,2.53,0,0
5.16,3.013,3.239,6.252,35,17,2.65,0,0
5.21,2.489,3.135,5.624,29,6,2.77,0,0
5.16,2.336,3.073,5.409,28,5,2.82,0,0
5.23,2.563,3.064,5.626,26,16,2.75,0,0
5.33,2.66,3.041,5.701,22,12,2.73,0,0
4.9,2.724,2.96,5.683,33,15,2.75,0,0
5.19,2.479,2.931,5.41,44,16,2.79,0,0
5.24,3.292,2.884,6.176,24,31,2.74,0,0
4.89,3.163,2.97,6.133,36,17,2.74,0,0
5.29,3.108,2.93,6.038,16,17,2.77,0,0
5.19,3.135,2.917,6.052,25,14,2.77,0,0
4.98,2.792,2.993,5.784,24,15,2.72,0,0
5.05,2.7,3.114,5.814,22,13,2.65,0,0
4.85,2.665,3.132,5.797,16,9,2.65,0,0
4.95,2.621,3.159,5.779,26,16,2.66,0,0
5.05,2.507,3.221,5.728,35,18,2.62,0,0
5.36,2.509,3.253,5.762,34,14,2.65,0,0
5.29,2.351,3.213,5.564,23,18,2.64,0,0
4.89,1.953,3.233,5.186,33,11,2.67,0,0
4.86,1.937,3.209,5.146,28,11,2.72,0,0
5.21,1.849,3.191,5.04,29,9,2.71,0,0
5.35,2.069,3.161,5.23,26,14,2.66,0,0
4.94,1.876,3.099,4.975,28,9,2.69,0,0
5.1,1.74,3.097,4.837,31,6,2.71,0,0
5.17,1.736,3.069,4.804,13,10,2.73,0,0
5.05,1.766,3.066,4.832,19,12,2.78,0,0
5.22,2.229,3.109,5.338,19,16,2.74,0,0
5.25,2.264,3.184,5.448,46,9,2.77,0,0
5.46,2.515,3.153,5.668,41,14,2.78,0,0
5.49,3.103,3.206,6.309,32,16,2.68,0,0
4.91,3.064,3.179,6.243,27,5,2.74,0,0
4.84,3.253,3.248,6.501,18,7,2.69,0,0
4.9,3.489,3.157,6.646,30,12,2.77,0,0
4.68,3.197,3.086,6.282,22,8,2.9,0,0
4.83,2.914,3.043,5.957,22,8,2.93,0,0
5.21,2.588,3.1,5.688,27,21,2.89,0,0
5.12,2.599,3.102,5.701,18,19,2.87,0,0
5.19,2.444,3.064,5.508,26,19,2.84,0,0
4.94,1.846,3.104,4.95,62,4,2.86,0,0
5.05,1.929,3.084,5.013,10,9,2.86,0,0
5.37,1.618,3.036,4.654,35,3,2.93,0,0
4.88,1.674,3.071,4.745,32,7,2.88,0,0
5.2,1.71,3.116,4.826,25,5,2.83,0,0
5.19,2.496,3.117,5.613,29,22,2.7,0,0
5.0,2.861,3.141,6.002,10,16,2.63,0,0
5.29,2.785,3.145,5.929,19,11,2.62,0,0
5.2,2.977,3.229,6.205,25,15,2.57,0,0
5.37,2.768,3.191,5.96,21,16,2.58,0,0
5.15,1.974,3.254,5.228,40,5,2.6,0,0
5.03,1.81,3.236,5.046,32,9,2.66,0,0
5.17,2.334,3.248,5.582,20,17,2.62,0,0
4.98,2.706,3.226,5.933,9,11,2.59,0,0
4.87,2.548,3.269,5.817,30,14,2.57,0,0
5.14,2.815,3.35,6.165,34,16,2.53,0,0
5.05,2.734,3.307,6.041,16,12,2.6,0,0
4.65,2.872,3.274,6.146,38,16,2.61,0,0
5.14,2.447,3.263,5.71,37,12,2.67,0,0
4.96,2.34,3.167,5.506,40,10,2.74,0,0
5.11,1.978,3.132,5.11,31,5,2.82,0,0
5.16,2.381,3.123,5.504,23,13,2.8,0,0
5.2,2.467,3.101,5.569,12,10,2.8,0,0
5.2,2.647,3.062,5.709,35,12,2.8,0,0
5.34,3.114,3.077,6.19,17,16,2.78,0,0
5.18,3.141,3.055,6.196,26,18,2.81,0,0
5.14,2.964,3.021,5.985,11,12,2.84,0,0
5.47,3.578,3.066,6.644,27,19,2.74,0,0
4.99,3.578,3.035,6.613,37,20,2.7,0,0
5.04,3.396,3.095,6.491,31,16,2.71,0,0
5.19,3.265,3.128,6.393,11,23,2.71,0,0
5.64,3.174,3.141,6.315,22,19,2.69,0,0
5.25,2.731,3.2,5.931,35,25,2.63,0,0
4.85,2.6,3.288,5.889,32,18,2.58,0,0
4.79,2.461,3.307,5.768,13,11,2.58,0,0
4.99,2.667,3.261,5.929,21,19,2.58,0,0
5.32,2.91,3.239,6.15,37,26,2.55,0,0
5.01,2.912,3.2,6.112,22,8,2.62,0,0
5.24,2.985,3.182,6.166,35,12,2.67,0,0
5.04,3.015,3.211,6.226,19,7,2.66,0,0
5.14,3.232,3.153,6.385,46,22,2.69,0,0
5.14,3.471,3.108,6.579,19,13,2.72,0,0
5.32,3.607,3.09,6.697,22,11,2.68,0,0
5.25,3.443,3.031,6.475,24,6,2.7,0,0
5.03,3.342,3.005,6.347,42,14,2.74,0,0
4.87,3.247,2.91,6.157,29,12,2.78,0,0
4.83,3.262,2.913,6.174,20,9,2.8,0,0
4.97,3.158,2.907,6.065,34,19,2.76,0,0
4.99,3.153,2.933,6.086,27,15,2.8,0,0
5.11,3.12,2.982,6.102,21,15,2.76,0,0
5.25,3.25,2.971,6.221,16,19,2.75,0,0
4.92,2.885,3.057,5.941,38,19,2.74,0,0
4.87,2.881,3.104,5.985,21,16,2.75,0,0
4.96,2.904,3.106,6.01,33,18,2.79,0,0
4.68,2.836,3.118,5.953,25,15,2.76,0,0
5.08,2.502,3.233,5.735,37,18,2.71,0,0
4.92,2.417,3.233,5.651,27,19,2.72,0,0
4.81,2.083,3.19,5.273,33,15,2.73,0,0
5.01,2.126,3.247,5.372,23,17,2.67,0,0
4.95,2.522,3.255,5.776,23,19,2.66,0,0
4.69,2.438,3.25,5.688,27,17,2.59,0,0
5.05,2.367,3.235,5.602,33,12,2.63,0,0
5.22,1.964,3.266,5.23,35,12,2.64,0,0
4.99,2.26,3.205,5.466,33,14,2.65,0,0
5.03,2.43,3.143,5.573,15,10,2.71,0,0
5.24,2.462,3.153,5.615,27,8,2.71,0,0
4.89,2.594,3.139,5.734,45,15,2.73,0,0
4.97,2.439,3.14,5.579,16,14,2.71,0,0
5.11,2.5,3.135,5.635,33,13,2.67,0,0
5.2,2.682,3.17,5.852,41,14,2.61,0,0
5.46,3.056,3.124,6.18,22,18,2.59,0,0
5.03,2.721,3.152,5.873,36,6,2.66,0,0
5.24,2.91,3.196,6.106,33,10,2.64,0,0
5.19,3.209,3.183,6.392,21,10,2.65,0,0
5.35,3.16,3.157,6.317,22,1,2.67,0,0
5.23,3.513,3.203,6.716,17,9,2.59,0,0
5.34,3.416,3.183,6.599,33,10,2.53,0,0
5.25,2.703,3.169,5.872,32,6,2.58,0,0
4.95,3.025,3.26,6.285,25,8,2.53,0,0
4.9,3.065,3.283,6.348,6,6,2.51,0,0
4.85,2.649,3.328,5.977,42,9,2.5,0,0
5.28,2.71,3.248,5.958,32,11,2.58,0,0
5.1,2.268,3.281,5.548,24,4,2.62,0,0
5.14,2.228,3.265,5.493,33,8,2.65,0,0
5.15,2.334,3.276,5.611,21,8,2.7,0,0
5.16,2.782,3.232,6.014,22,13,2.75,0,0
5.32,2.9,3.198,6.098,25,13,2.85,0,0
5.08,2.583,3.152,5.734,44,5,2.83,0,0
5.05,2.271,3.139,5.41,27,2,2.82,0,0
5.16,2.423,3.131,5.554,19,6,2.81,0,0
4.94,2.405,3.117,5.522,36,8,2.81,0,0
5.26,2.404,3.137,5.541,6,5,2.81,0,0
5.51,2.813,3.147,5.96,15,14,2.78,0,0
5.17,2.549,3.122,5.671,58,12,2.8,0,0
4.93,2.581,3.092,5.672,9,7,2.8,0,0
4.94,2.488,3.066,5.554,9,6,2.8,0,0
5.01,2.615,3.045,5.659,37,9,2.85,0,0
5.16,2.717,3.101,5.818,26,9,2.77,0,0
5.01,1.99,3.169,5.159,49,13,2.76,0,0
4.84,1.704,3.124,4.828,22,12,2.76,0,0
5.17,1.566,3.1,4.667,19,6,2.8,0,0
5.1,1.53,3.136,4.666,22,15,2.78,0,0
5.19,1.587,3.013,4.599,30,11,2.86,0,0
5.1,1.862,3.062,4.924,14,12,2.82,0,0
5.17,2.074,3.064,5.138,28,15,2.85,0,0
4.97,2.345,3.04,5.384,44,17,2.81,0,0
4.95,2.601,3.077,5.678,43,17,2.67,0,0
5.19,2.63,3.072,5.702,43,10,2.65,0,0
5.21,2.758,3.119,5.876,23,11,2.6,0,0
5.26,2.605,3.054,5.659,25,12,2.62,0,0
5.2,2.72,3.062,5.782,20,16,2.6,0,0
4.82,2.948,3.096,6.044,15,16,2.55,0,0
4.67,2.391,3.063,5.454,35,7,2.67,0,0
4.82,1.949,3.086,5.035,32,15,2.78,0,0
5.02,1.76,3.108,4.868,35,10,2.88,0,0
5.05,2.207,3.142,5.35,13,14,2.81,0,0
5.21,2.099,3.18,5.279,34,11,2.81,0,0
4.72,1.965,3.131,5.096,39,10,2.83,0,0
4.99,2.572,3.154,5.727,21,16,2.75,0,0
5.31,2.414,3.193,5.607,18,8,2.69,0,0
5.3,2.255,3.204,5.46,25,12,2.68,0,0
5.04,2.869,3.247,6.116,32,20,2.66,0,0
4.95,2.652,3.159,5.812,19,6,2.76,0,0
5.24,3.076,3.08,6.156,30,14,2.78,0,0
5.2,2.565,3.03,5.595,38,6,2.87,0,0
5.3,2.639,2.962,5.601,42,8,2.93,0,0
5.05,3.256,2.94,6.197,25,14,2.9,0,0
5.1,2.713,3.049,5.762,37,12,2.76,0,0
5.32,3.039,3.152,6.191,25,16,2.64,0,0
5.37,2.934,3.153,6.087,30,11,2.67,0,0
5.31,3.419,3.145,6.563,21,16,2.61,0,0
5.03,3.629,3.134,6.763,17,10,2.6,0,0
5.01,3.7,3.118,6.818,29,13,2.61,0,0
5.21,3.888,3.156,7.044,14,12,2.57,0,0
5.08,3.505,3.095,6.6,35,11,2.62,0,0
4.9,3.188,3.057,6.245,26,8,2.65,0,0
5.34,2.16,3.066,5.226,42,7,2.69,0,0
5.21,1.504,3.084,4.588,37,9,2.75,0,0
5.31,1.711,3.146,4.858,33,19,2.7,0,0
5.1,1.597,3.161,4.759,22,8,2.68,0,0
5.52,1.427,3.153,4.581,32,7,2.73,0,0
5.54,1.769,3.198,4.967,18,12,2.63,0,0
4.95,1.822,3.198,5.02,24,12,2.66,0,0
5.12,1.782,3.168,4.951,36,6,2.7,0,0
5.09,1.857,3.1,4.957,25,9,2.71,0,0
4.94,2.236,3.122,5.358,27,11,2.72,0,0
4.96,2.295,3.022,5.318,34,13,2.83,0,0
5.26,2.273,3.048,5.321,29,12,2.8,0,0
5.03,2.702,2.984,5.687,15,20,2.8,0,0
5.29,2.481,3.046,5.527,44,12,2.81,0,0
5.34,2.233,3.029,5.262,35,11,2.81,0,0
5.12,2.23,3.002,5.232,24,6,2.85,0,0
5.25,2.229,3.014,5.243,12,6,2.83,0,0
5.34,1.744,3.022,4.766,24,3,2.85,0,0
5.2,1.967,3.074,5.041,26,13,2.78,0,0
5.0,1.92,3.054,4.974,26,4,2.83,0,0
5.37,1.988,3.15,5.138,37,17,2.71,0,0
5.3,2.476,3.17,5.645,20,10,2.63,0,0
5.14,2.263,3.195,5.458,27,11,2.62,0,0
5.46,2.422,3.182,5.605,26,17,2.58,0,0
5.48,2.41,3.203,5.613,24,15,2.62,0,0
5.46,2.403,3.258,5.661,29,13,2.59,0,0
5.23,2.494,3.291,5.785,16,12,2.54,0,0
4.95,2.34,3.343,5.683,15,8,2.55,0,0
4.68,2.323,3.302,5.625,26,17,2.56,0,0
4.75,2.025,3.257,5.282,48,12,2.66,0,0
5.4,1.416,3.209,4.626,35,8,2.79,0,0
5.24,1.444,3.262,4.706,24,12,2.72,0,0
4.88,1.398,3.259,4.657,29,6,2.74,0,0
5.22,1.581,3.297,4.878,25,14,2.67,0,0
5.1,1.562,3.297,4.859,16,14,2.65,0,0
5.12,1.598,3.251,4.848,22,13,2.7,0,0
5.18,1.751,3.239,4.99,35,17,2.64,0,0
5.45,2.054,3.282,5.337,21,11,2.61,0,0
5.08,2.217,3.214,5.431,35,14,2.65,0,0
5.4,2.213,3.215,5.428,21,12,2.65,0,0
5.11,2.647,3.275,5.922,40,25,2.63,0,0
5.03,2.574,3.253,5.827,36,13,2.65,0,0
5.09,2.176,3.261,5.438,32,15,2.66,0,0
5.08,2.388,3.237,5.626,26,21,2.71,0,0
5.1,2.428,3.318,5.747,31,19,2.65,0,0
5.01,2.983,3.288,6.271,21,23,2.7,0,0
5.27,2.733,3.348,6.081,40,12,2.65,0,0
5.33,2.71,3.324,6.034,24,14,2.7,0,0
4.97,2.7,3.263,5.963,28,16,2.71,0,0
5.07,2.842,3.228,6.07,39,12,2.75,0,0
4.91,2.885,3.282,6.167,22,13,2.69,0,0
4.88,3.361,3.236,6.597,19,21,2.67,0,0
4.99,3.333,3.238,6.57,23,13,2.67,0,0
5.25,3.245,3.309,6.555,10,7,2.63,0,0
5.14,2.916,3.331,6.247,37,17,2.59,0,0
5.02,3.505,3.333,6.838,16,22,2.55,0,0
5.45,3.715,3.353,7.068,12,17,2.52,0,0
5.5,3.922,3.336,7.258,35,15,2.5,0,0
5.19,3.306,3.311,6.617,31,10,2.57,0,0
4.92,2.514,3.319,5.833,48,8,2.62,0,0
5.22,2.318,3.269,5.587,40,19,2.67,0,0
5.17,2.073,3.273,5.346,14,14,2.68,0,0
5.14,2.299,3.327,5.626,34,18,2.59,0,0
5.17,1.942,3.286,5.229,33,14,2.66,0,0
