gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.16,0.566,3.48,4.047,2937,0,1841.36,841.818,1361
5.295,0.544,3.47,4.015,151,0,1792.424,814.481,1361
5.303,0.552,3.469,4.021,57,0,1791.142,819.861,1361
5.326,0.543,3.452,3.995,50,0,1874.242,848.109,1345
5.315,0.545,3.437,3.983,74,0,1777.413,802.843,1361
5.264,0.529,3.43,3.959,66,0,1846.765,826.07,1361
5.279,0.541,3.43,3.971,61,0,1818.783,806.69,1361
5.214,0.547,3.416,3.963,45,0,1836.643,814.159,1361
5.335,0.543,3.41,3.953,33,0,1845.588,825.052,1361
5.271,0.542,3.422,3.964,83,0,1789.593,801.865,1361
5.273,0.515,3.42,3.935,44,0,1775.139,787.806,1361
5.259,0.508,3.414,3.921,42,0,1776.69,803.562,1361
5.199,0.509,3.404,3.913,46,0,1861.555,830.963,1361
5.226,0.498,3.404,3.902,35,0,1774.729,811.693,1360
5.288,0.5,3.401,3.901,50,0,1799.1,829.343,1361
5.267,0.491,3.397,3.888,64,0,1808.192,847.221,1361
5.324,0.482,3.401,3.883,29,0,1835.108,818.94,1361
5.24,0.486,3.402,3.888,58,0,1848.337,832.471,1361
5.268,0.481,3.399,3.88,61,0,1799.482,843.684,1361
5.227,0.478,3.396,3.873,66,0,1872.047,851.48,1361
5.306,0.48,3.389,3.869,51,0,1839.372,813.672,1361
5.269,0.475,3.381,3.856,47,0,1803.772,799.029,1361
5.299,0.476,3.381,3.857,43,0,1803.811,818.253,1361
5.278,0.477,3.377,3.854,35,0,1753.076,812.724,1361
5.275,0.48,3.359,3.839,56,0,1792.155,808.626,1361
5.328,0.501,3.341,3.841,60,0,1754.708,807.941,1361
5.31,0.532,3.335,3.867,56,0,1870.196,871.052,1361
5.322,0.525,3.334,3.859,78,0,1888.288,853.289,1361
5.265,0.525,3.337,3.863,46,0,1875.672,835.747,1361
5.281,0.526,3.318,3.844,70,0,1834.37,844.728,1361
5.259,0.526,3.311,3.837,44,0,1854.481,819.959,1361
5.214,0.522,3.309,3.83,48,0,1815.423,803.48,1361
5.204,0.529,3.314,3.843,76,0,1846.464,858.505,1361
5.168,0.523,3.305,3.828,51,0,1738.587,788.701,1361
5.231,0.523,3.307,3.83,42,0,1799.511,810.459,1361
5.236,0.523,3.306,3.828,61,0,1828.743,823.405,1361
5.327,0.516,3.309,3.825,50,0,1788.23,796.801,1361
5.243,0.513,3.305,3.818,29,0,1849.162,853.822,1361
5.262,0.513,3.295,3.809,29,0,1812.289,836.107,1361
5.23,0.502,3.292,3.794,58,0,1861.375,855.655,1361
5.164,0.507,3.287,3.794,62,0,1816.762,812.31,1361
5.221,0.499,3.281,3.781,64,0,1795.361,793.162,1361
5.243,0.514,3.271,3.785,45,0,1808.209,804.87,1361
5.194,0.522,3.263,3.785,67,0,1813.351,811.406,1358
5.255,0.506,3.266,3.772,66,0,1762.45,802.968,1361
