gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.136,0.592,3.496,4.088,2917,0,1814.65,987.616,1556
5.218,0.579,3.465,4.044,137,0,1788.462,927.739,1556
5.249,0.554,3.463,4.018,76,0,1816.904,976.854,1556
5.258,0.559,3.466,4.025,49,0,1763.473,925.725,1556
5.26,0.557,3.456,4.013,42,0,1789.762,909.737,1540
5.214,0.538,3.465,4.002,40,0,1815.529,941.078,1556
5.317,0.534,3.474,4.008,39,0,1797.177,940.958,1556
5.201,0.529,3.463,3.993,71,0,1808.543,913.259,1556
5.253,0.514,3.457,3.97,41,0,1794.577,929.457,1556
5.196,0.498,3.453,3.952,56,0,1805.761,917.426,1556
5.28,0.482,3.445,3.927,58,0,1795.159,930.937,1556
5.28,0.482,3.444,3.926,30,0,1737.559,869.614,1556
5.285,0.47,3.446,3.916,40,0,1810.409,927.512,1556
5.246,0.477,3.448,3.925,74,0,1753.208,908.819,1556
5.27,0.474,3.441,3.915,50,0,1841.31,965.851,1556
5.266,0.47,3.433,3.903,25,0,1849.576,958.125,1556
5.242,0.47,3.431,3.901,48,0,1834.831,945.107,1554
5.157,0.462,3.425,3.887,43,0,1821.162,936.233,1556
5.202,0.455,3.437,3.892,30,0,1793.387,926.786,1556
5.244,0.461,3.432,3.892,58,0,1782.107,929.638,1556
5.227,0.458,3.435,3.893,26,0,1834.985,961.374,1556
5.296,0.439,3.43,3.869,53,0,1773.406,963.75,1556
5.236,0.441,3.422,3.863,44,0,1868.393,962.189,1556
5.179,0.446,3.403,3.849,68,0,1837.694,931.458,1546
5.219,0.445,3.407,3.852,39,0,1831.841,937.881,1556
5.215,0.436,3.402,3.838,28,0,1833.794,929.029,1556
5.278,0.432,3.39,3.822,57,0,1782.971,924.853,1550
5.145,0.423,3.401,3.824,62,0,1812.418,951.055,1556
5.273,0.423,3.395,3.818,29,0,1805.866,926.134,1551
5.225,0.432,3.397,3.829,45,0,1822.666,954.348,1554
5.236,0.445,3.394,3.838,50,0,1852.214,965.8,1555
5.218,0.447,3.379,3.827,56,0,1748.534,922.529,1556
5.253,0.45,3.383,3.833,47,0,1816.443,933.343,1556
5.256,0.458,3.377,3.836,46,0,1761.164,940.4,1556
5.25,0.474,3.383,3.856,48,0,1894.649,1001.974,1556
5.229,0.471,3.383,3.854,50,0,1864.456,953.161,1556
5.237,0.468,3.379,3.847,45,0,1802.053,938.294,1556
5.258,0.468,3.372,3.84,45,0,1814.227,919.202,1556
5.246,0.46,3.372,3.832,39,0,1872.918,970.419,1555
5.274,0.456,3.363,3.819,59,0,1793.836,931.65,1556
5.246,0.459,3.364,3.824,49,0,1778.733,943.918,1556
5.2,0.466,3.366,3.832,74,0,1829.853,977.979,1556
5.27,0.475,3.352,3.827,47,0,1828.134,925.177,1556
5.274,0.473,3.344,3.816,49,0,1833.392,970.203,1553
5.252,0.474,3.351,3.825,44,0,1871.2,979.855,1556
5.249,0.467,3.351,3.818,39,0,1865.934,946.788,1556
5.262,0.462,3.346,3.808,47,0,1754.249,906.844,1556
5.178,0.46,3.35,3.809,49,0,1824.944,943.982,1556
5.309,0.464,3.347,3.81,73,0,1788.554,931.36,1555
5.291,0.45,3.349,3.799,68,0,1752.146,876.418,1556
5.383,0.45,3.344,3.794,61,0,1739.546,906.499,1556
5.315,0.45,3.338,3.788,68,0,1848.608,980.262,1554
5.319,0.443,3.332,3.776,51,0,1770.928,905.104,1556
5.293,0.441,3.32,3.761,45,0,1855.557,967.226,1556
5.34,0.442,3.322,3.764,58,0,1755.061,883.042,1556
5.294,0.442,3.319,3.761,46,0,1877.67,981.967,1556
5.381,0.43,3.308,3.738,54,0,1787.311,926.273,1556
5.383,0.428,3.304,3.732,34,0,1868.356,963.1,1556
5.357,0.429,3.304,3.733,53,0,1862.277,970.613,1552
5.383,0.409,3.32,3.729,77,0,1800.255,907.603,1556
5.373,0.406,3.319,3.725,42,0,1798.974,916.421,1555
5.357,0.403,3.323,3.726,46,0,1786.895,931.241,1556
5.316,0.389,3.33,3.719,37,0,1800.457,939.692,1556
5.385,0.389,3.335,3.724,61,0,1753.079,908.845,1556
5.316,0.386,3.328,3.713,38,0,1830.263,945.38,1549
5.357,0.386,3.327,3.713,46,0,1855.089,936.089,1547
5.308,0.378,3.327,3.705,62,0,1807.066,944.31,1553
5.29,0.372,3.328,3.7,55,0,1752.595,896.247,1556
5.273,0.364,3.313,3.677,42,0,1881.649,943.168,1556
5.301,0.385,3.307,3.692,49,0,1804.534,951.19,1556
5.285,0.381,3.315,3.696,29,0,1798.315,937.29,1556
5.211,0.373,3.314,3.687,45,0,1873.467,983.231,1556
5.248,0.369,3.322,3.691,67,0,1816.523,936.805,1554
5.156,0.382,3.319,3.7,69,0,1766.616,945.611,1556
5.146,0.368,3.321,3.689,35,0,1777.729,912.042,1554
5.165,0.368,3.305,3.673,46,0,1831.79,959.054,1552
5.218,0.369,3.296,3.664,55,0,1802.96,965.71,1551
5.239,0.364,3.306,3.67,60,0,1773.826,911.811,1556
5.342,0.366,3.31,3.676,39,0,1850.033,931.609,1553
5.379,0.359,3.314,3.673,37,0,1876.179,963.022,1556
5.376,0.371,3.313,3.684,42,0,1730.178,888.94,1555
5.402,0.362,3.319,3.681,55,0,1795.732,914.239,1556
5.387,0.365,3.31,3.675,35,0,1786.034,956.307,1556
5.301,0.368,3.307,3.675,38,0,1839.869,955.948,1556
5.316,0.377,3.29,3.667,64,0,1725.709,869.463,1548
5.355,0.378,3.275,3.654,39,0,1889.197,964.777,1531
5.309,0.379,3.272,3.65,41,0,1844.445,942.134,1520
5.241,0.379,3.28,3.658,45,0,1823.996,918.496,1525
5.274,0.373,3.294,3.667,40,0,1809.736,937.004,1551
5.259,0.37,3.299,3.669,28,0,1800.728,938.268,1556
5.196,0.368,3.292,3.66,66,0,1885.587,990.07,1555
5.193,0.373,3.295,3.668,57,0,1807.692,933.03,1553
5.182,0.374,3.31,3.685,47,0,1867.746,995.528,1553
5.197,0.369,3.326,3.695,62,0,1812.886,950.562,1556
5.227,0.363,3.315,3.677,51,0,1767.304,908.113,1556
5.185,0.366,3.316,3.682,56,0,1856.071,951.984,1554
5.137,0.368,3.31,3.678,59,0,1773.986,921.311,1556
5.179,0.366,3.307,3.673,57,0,1801.344,915.448,1549
5.225,0.35,3.31,3.66,35,0,1804.86,911.734,1556
5.255,0.356,3.311,3.667,48,0,1839.838,949.833,1556
5.274,0.357,3.312,3.67,33,0,1867.913,991.185,1556
5.193,0.361,3.308,3.669,30,0,1788.608,926.717,1554
5.213,0.36,3.3,3.66,55,0,1815.326,924.401,1548
5.289,0.374,3.305,3.679,57,0,1787.791,921.741,1556
5.323,0.368,3.303,3.671,47,0,1801.963,936.087,1551
5.32,0.365,3.303,3.669,41,0,1813.803,943.982,1556
5.268,0.372,3.306,3.678,47,0,1861.522,1009.474,1556
5.264,0.377,3.299,3.676,56,0,1817.626,951.822,1556
5.335,0.376,3.299,3.675,39,0,1853.271,940.64,1547
5.245,0.37,3.303,3.673,62,0,1762.383,917.608,1556
5.206,0.368,3.305,3.673,39,0,1838.374,961.724,1553
5.224,0.371,3.319,3.69,53,0,1844.004,957.56,1556
5.219,0.368,3.317,3.685,81,0,1815.146,970.187,1556
5.25,0.373,3.319,3.693,43,0,1794.786,928.125,1556
5.225,0.371,3.322,3.693,53,0,1805.12,930.471,1556
5.181,0.376,3.334,3.711,48,0,1848.607,951.905,1556
5.19,0.381,3.329,3.71,64,0,1793.138,926.811,1553
5.233,0.373,3.335,3.708,63,0,1787.663,916.315,1556
5.207,0.376,3.33,3.706,45,0,1800.948,950.996,1550
5.312,0.377,3.331,3.709,48,0,1802.555,905.958,1556
5.318,0.368,3.327,3.695,54,0,1842.66,957.837,1547
5.305,0.366,3.338,3.704,49,0,1795.872,933.94,1556
5.228,0.369,3.334,3.703,32,0,1778.413,913.952,1553
5.359,0.375,3.33,3.705,58,0,1815.25,970.568,1556
5.226,0.392,3.317,3.709,71,0,1796.488,929.902,1555
5.304,0.388,3.315,3.704,67,0,1788.156,971.51,1555
5.263,0.385,3.321,3.705,45,0,1863.166,952.308,1547
5.276,0.38,3.316,3.696,70,0,1804.431,937.249,1549
5.233,0.372,3.315,3.688,32,0,1768.334,901.787,1541
5.236,0.37,3.313,3.683,50,0,1763.491,902.005,1556
5.262,0.362,3.308,3.671,34,0,1689.622,891.875,1552
5.229,0.363,3.3,3.663,48,0,1775.408,950.945,1544
5.23,0.377,3.293,3.671,66,0,1844.793,948.652,1556
5.135,0.373,3.296,3.669,36,0,1814.824,941.618,1555
5.13,0.363,3.302,3.665,48,0,1817.931,968.77,1556
5.222,0.359,3.295,3.654,47,0,1803.449,932.556,1550
5.293,0.361,3.306,3.667,59,0,1834.802,930.796,1556
5.313,0.362,3.303,3.665,45,0,1860.83,980.01,1553
5.227,0.361,3.296,3.657,54,0,1814.952,966.65,1553
5.35,0.355,3.304,3.659,30,0,1764.036,921.316,1551
5.281,0.351,3.318,3.669,51,0,1845.938,925.252,1553
5.324,0.348,3.312,3.66,53,0,1811.769,930.833,1552
5.313,0.348,3.309,3.657,44,0,1825.605,966.797,1556
5.336,0.349,3.309,3.658,33,0,1864.558,967.598,1556
5.34,0.344,3.31,3.654,71,0,1829.664,951.916,1556
5.272,0.339,3.308,3.647,66,0,1882.919,962.05,1556
5.367,0.343,3.305,3.648,44,0,1750.729,880.478,1556
5.421,0.349,3.307,3.656,31,0,1794.584,954.945,1555
5.346,0.347,3.303,3.65,51,0,1836.26,936.953,1555
5.393,0.347,3.297,3.644,28,0,1893.986,982.089,1551
5.398,0.348,3.299,3.647,34,0,1855.625,974.073,1556
5.32,0.347,3.3,3.646,50,0,1867.275,943.442,1556
5.341,0.354,3.308,3.662,61,0,1782.827,963.893,1556
5.296,0.354,3.307,3.661,51,0,1831.543,917.098,1556
5.291,0.351,3.313,3.663,70,0,1755.974,888.625,1556
5.25,0.354,3.31,3.664,32,0,1776.384,914.547,1556
5.32,0.351,3.297,3.648,60,0,1760.304,897.74,1552
5.338,0.342,3.298,3.639,53,0,1811.136,966.832,1553
5.325,0.345,3.289,3.633,45,0,1807.763,937.629,1556
5.245,0.336,3.286,3.622,60,0,1815.594,933.234,1553
5.299,0.343,3.283,3.626,48,0,1841.405,960.365,1556
5.365,0.353,3.276,3.629,48,0,1876.863,976.012,1553
5.394,0.357,3.284,3.64,45,0,1834.025,954.18,1556
5.338,0.353,3.282,3.634,28,0,1823.134,909.05,1554
5.284,0.353,3.282,3.634,51,0,1827.884,972.182,1548
5.314,0.356,3.276,3.633,37,0,1782.947,940.895,1547
5.226,0.353,3.274,3.627,45,0,1788.069,909.799,1553
5.221,0.364,3.276,3.64,52,0,1806.617,916.513,1556
5.174,0.36,3.289,3.65,63,0,1766.637,907.015,1556
5.201,0.375,3.274,3.649,40,0,1782.801,891.211,1553
5.282,0.367,3.281,3.648,46,0,1864.254,957.413,1547
5.271,0.368,3.276,3.644,45,0,1818.89,939.3,1551
5.187,0.38,3.274,3.654,64,0,1801.923,986.412,1556
5.196,0.38,3.271,3.652,60,0,1831.777,946.958,1553
5.216,0.38,3.284,3.664,41,0,1813.884,965.485,1556
5.21,0.381,3.288,3.669,42,0,1825.338,944.427,1553
5.18,0.376,3.293,3.67,57,0,1826.847,973.139,1553
5.234,0.373,3.296,3.67,51,0,1814.631,921.934,1554
5.249,0.38,3.291,3.671,62,0,1794.626,925.811,1553
5.228,0.378,3.292,3.67,56,0,1821.562,945.397,1545
5.302,0.368,3.297,3.665,64,0,1773.604,895.643,1550
5.221,0.361,3.314,3.675,58,0,1768.722,906.927,1556
5.186,0.366,3.309,3.675,57,0,1773.073,927.354,1556
5.177,0.355,3.311,3.665,51,0,1792.924,957.54,1556
5.183,0.356,3.314,3.67,52,0,1816.583,950.483,1556
5.178,0.373,3.317,3.69,71,0,1769.525,885.724,1552
