gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
66.7,0.802,3.267,4.259,1653,47,2.28,0.3,824,7.14,952,751,839,1958
67.88,0.814,3.28,4.287,1577,57,2.26,0.31,834,7.07,919,761,810,2010
66.68,0.82,3.285,4.297,1190,59,2.25,0.32,861,6.63,872,866,825,1937
66.77,0.804,3.291,4.285,1492,25,2.26,0.29,804,7.74,892,895,830,1883
66.81,0.783,3.259,4.241,1570,27,2.32,0.24,661,6.24,975,924,812,1789
66.21,0.832,3.237,4.277,1499,30,2.24,0.22,601,8.4,843,979,787,1891
65.67,0.836,3.27,4.307,1552,10,2.21,0.25,696,8.76,790,908,870,1932
65.34,0.822,3.257,4.281,1530,47,2.24,0.25,673,6.91,842,921,911,1826
66.18,0.796,3.236,4.23,1458,11,2.32,0.24,649,8.6,976,923,904,1697
66.93,0.828,3.293,4.315,1499,61,2.25,0.27,749,8.02,868,873,904,1855
67.87,0.851,3.327,4.362,1827,67,2.23,0.33,895,8.23,865,764,743,2128
68.15,0.795,3.341,4.314,1670,106,2.27,0.34,941,7.91,923,810,684,2083
68.3,0.792,3.306,4.287,1343,20,2.27,0.32,863,6.04,928,810,773,1989
66.64,0.77,3.278,4.236,1314,60,2.31,0.31,860,7.24,979,882,867,1772
67.7,0.768,3.304,4.257,1550,45,2.29,0.32,874,8.28,952,812,849,1887
68.46,0.782,3.311,4.287,1677,60,2.23,0.31,857,8.75,826,903,840,1931
67.58,0.77,3.311,4.278,1280,46,2.28,0.31,847,6.89,946,777,788,1989
67.18,0.773,3.279,4.242,1101,26,2.27,0.3,827,5.06,900,872,825,1903
66.86,0.788,3.27,4.254,1351,40,2.23,0.3,821,7.5,817,1000,896,1787
67.74,0.76,3.284,4.234,1630,42,2.29,0.31,846,9.12,950,809,981,1760
67.11,0.788,3.287,4.265,1581,13,2.26,0.3,818,8.68,895,795,929,1881
66.93,0.804,3.268,4.268,1440,26,2.2,0.27,731,7.44,792,873,979,1856
67.56,0.806,3.297,4.299,1405,0,2.22,0.3,804,7.13,822,849,954,1875
67.47,0.817,3.317,4.332,1396,23,2.21,0.29,782,7.31,801,910,855,1934
67.69,0.803,3.333,4.337,1671,55,2.22,0.28,767,9.71,811,972,787,1930
68.16,0.769,3.337,4.308,1936,51,2.22,0.28,766,9.56,805,1007,822,1866
67.2,0.746,3.29,4.227,1546,24,2.28,0.29,787,7.92,909,977,847,1767
67.52,0.798,3.298,4.285,1389,62,2.21,0.3,810,7.61,788,967,839,1906
67.58,0.787,3.29,4.266,1588,23,2.23,0.31,840,7.38,818,1008,766,1908
