gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
16.58,0.642,3.256,4.065,49,0,2.36,0.1,62,0.12,227,229,313,231
16.96,0.642,3.248,4.057,35,0,2.39,0.1,62,0.08,238,222,315,225
16.99,0.646,3.264,4.08,89,0,2.33,0.1,62,0.12,216,207,353,224
16.85,0.662,3.206,4.038,76,0,2.38,0.09,54,0.1,235,225,348,192
16.57,0.665,3.203,4.037,45,0,2.34,0.09,54,0.11,215,254,346,185
16.58,0.649,3.238,4.053,71,0,2.36,0.1,62,0.12,222,239,337,202
16.35,0.638,3.251,4.05,40,0,2.35,0.12,72,0.07,220,248,330,202
16.47,0.633,3.216,4.016,37,0,2.42,0.12,72,0.09,245,250,321,184
16.52,0.631,3.218,4.018,60,0,2.41,0.12,72,0.09,240,260,317,183
16.62,0.638,3.212,4.016,63,0,2.42,0.12,70,0.1,245,254,317,184
16.79,0.662,3.2,4.028,118,0,2.46,0.13,80,0.25,264,224,308,204
16.65,0.659,3.232,4.055,42,0,2.4,0.14,82,0.09,244,220,316,220
16.9,0.661,3.246,4.071,83,0,2.42,0.14,84,0.12,254,203,308,235
17.14,0.664,3.254,4.08,39,0,2.41,0.14,84,0.05,251,201,299,249
17.19,0.652,3.267,4.083,80,0,2.41,0.13,75,0.16,249,205,293,253
16.98,0.658,3.285,4.109,47,0,2.34,0.13,75,0.07,219,231,283,267
16.45,0.657,3.263,4.088,65,0,2.37,0.1,60,0.13,232,221,288,259
16.74,0.649,3.266,4.081,72,0,2.39,0.11,68,0.11,242,209,293,256
16.69,0.652,3.262,4.08,38,0,2.4,0.12,69,0.05,243,213,295,249
16.75,0.665,3.243,4.079,50,0,2.38,0.1,57,0.09,236,220,291,253
16.5,0.678,3.23,4.076,48,0,2.38,0.1,58,0.1,236,214,308,242
16.73,0.663,3.265,4.088,85,0,2.42,0.15,91,0.14,255,194,305,246
16.98,0.654,3.248,4.061,35,0,2.45,0.14,81,0.06,266,205,286,243
17.0,0.658,3.229,4.05,40,0,2.44,0.12,71,0.09,261,214,306,219
16.4,0.638,3.246,4.049,145,0,2.46,0.1,61,0.21,264,220,307,209
16.84,0.639,3.223,4.032,68,0,2.47,0.1,58,0.11,265,244,299,192
16.97,0.643,3.245,4.056,59,0,2.39,0.1,58,0.11,231,264,302,203
16.73,0.647,3.273,4.085,88,0,2.34,0.11,64,0.13,209,282,283,226
16.83,0.615,3.288,4.062,51,0,2.42,0.14,83,0.08,243,258,278,221
17.02,0.624,3.262,4.049,57,0,2.41,0.14,83,0.08,237,278,271,214
16.78,0.634,3.223,4.017,58,0,2.47,0.14,83,0.1,262,264,273,201
16.68,0.629,3.227,4.017,49,0,2.47,0.14,83,0.08,263,265,263,209
16.41,0.65,3.176,3.988,64,0,2.51,0.12,74,0.11,276,276,249,199
