gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
16.61,0.822,2.966,3.957,274,0,2.41,0.04,26,0.47,220,361,261,158
16.71,0.824,2.947,3.941,150,0,2.5,0.04,24,0.29,260,340,224,176
16.18,0.817,2.944,3.933,55,0,2.57,0.04,23,0.13,292,302,227,179
16.14,0.788,2.975,3.934,76,0,2.58,0.04,23,0.17,298,302,233,167
16.4,0.776,3.006,3.956,67,0,2.53,0.04,23,0.12,280,292,259,169
16.36,0.753,3.022,3.95,52,0,2.5,0.04,23,0.08,262,327,254,157
16.2,0.758,3.022,3.955,10,0,2.48,0.04,23,0.02,252,337,254,157
16.76,0.771,3.002,3.95,87,0,2.5,0.04,22,0.25,258,361,216,165
16.4,0.784,2.988,3.952,45,0,2.49,0.03,20,0.13,249,375,220,156
16.48,0.763,3.021,3.958,67,0,2.44,0.05,32,0.13,232,376,230,162
17.08,0.773,2.999,3.945,41,0,2.49,0.05,32,0.09,256,352,229,163
16.42,0.754,3.038,3.962,99,0,2.44,0.06,36,0.18,235,351,272,142
16.19,0.753,3.017,3.943,62,0,2.49,0.06,36,0.13,254,347,256,143
16.09,0.761,2.987,3.923,48,0,2.5,0.05,29,0.06,255,369,249,127
16.29,0.795,2.975,3.94,77,0,2.49,0.07,42,0.17,255,353,259,133
16.13,0.796,2.999,3.965,76,0,2.43,0.07,39,0.15,229,356,279,136
16.22,0.795,3.011,3.975,93,0,2.38,0.06,35,0.2,209,362,287,142
16.37,0.767,3.01,3.943,41,0,2.41,0.06,35,0.1,223,354,299,124
16.42,0.779,3.007,3.949,63,0,2.4,0.07,44,0.12,217,356,299,128
16.53,0.74,3.037,3.94,49,0,2.39,0.08,48,0.14,214,360,296,130
16.27,0.759,3.008,3.931,126,0,2.44,0.08,48,0.19,231,365,268,136
15.89,0.739,3.02,3.921,27,0,2.43,0.08,48,0.06,223,390,261,126
16.52,0.739,3.036,3.938,58,0,2.4,0.1,58,0.21,214,375,285,126
15.77,0.739,3.003,3.907,59,0,2.48,0.1,58,0.1,246,369,270,115
16.08,0.735,2.987,3.888,17,0,2.5,0.08,50,0.04,253,380,267,100
15.98,0.728,2.974,3.876,99,0,2.53,0.07,41,0.17,262,385,287,66
16.37,0.741,2.962,3.881,51,0,2.54,0.07,41,0.11,269,368,288,75
16.13,0.733,2.983,3.894,105,0,2.54,0.08,48,0.2,274,341,299,86
15.94,0.739,2.996,3.913,94,0,2.5,0.07,44,0.19,257,354,281,108
16.03,0.746,2.974,3.897,110,0,2.51,0.07,40,0.22,257,371,268,104
