gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
16.69,0.797,3.082,4.054,285,139,2.39,0,0,0.67,219,337,214,230
17.43,0.799,3.124,4.098,139,76,2.46,0,0,0.33,254,291,197,258
17.05,0.787,3.146,4.11,61,57,2.54,0,0,0.13,292,252,188,268
17.21,0.791,3.187,4.151,79,48,2.51,0,0,0.16,282,242,181,295
16.65,0.802,3.198,4.179,40,63,2.48,0,0,0.12,276,219,195,310
16.58,0.804,3.215,4.198,33,67,2.44,0,0,0.1,258,237,189,316
16.38,0.802,3.216,4.196,21,52,2.45,0,0,0.04,260,239,176,325
16.69,0.805,3.213,4.2,87,95,2.45,0,0,0.23,259,254,167,320
16.55,0.82,3.223,4.225,71,80,2.43,0,0,0.16,253,245,172,330
16.58,0.811,3.249,4.239,67,74,2.4,0,0,0.18,240,245,173,342
16.78,0.801,3.223,4.203,45,95,2.42,0,0,0.1,252,235,166,347
16.23,0.795,3.257,4.228,97,86,2.39,0,0,0.17,242,231,170,357
16.29,0.795,3.264,4.239,56,63,2.4,0,0,0.11,243,229,171,357
16.46,0.808,3.227,4.214,59,56,2.41,0,0,0.11,245,241,173,341
16.73,0.844,3.252,4.272,75,76,2.36,0,0,0.21,228,247,157,368
16.54,0.849,3.224,4.251,68,90,2.35,0,0,0.18,224,237,178,361
16.69,0.844,3.269,4.29,78,87,2.29,0,0,0.18,201,231,187,381
16.9,0.833,3.264,4.27,61,61,2.32,0,0,0.16,215,218,202,365
16.61,0.818,3.297,4.285,60,76,2.29,0,0,0.13,203,231,200,366
16.97,0.834,3.278,4.281,67,85,2.31,0,0,0.15,209,226,191,374
16.48,0.853,3.302,4.326,124,62,2.27,0,0,0.23,199,217,173,411
16.41,0.838,3.307,4.314,33,53,2.29,0,0,0.03,205,225,169,401
17.19,0.833,3.291,4.295,71,84,2.3,0,0,0.19,209,215,177,399
16.37,0.824,3.274,4.271,56,65,2.37,0,0,0.11,241,185,174,400
16.35,0.818,3.255,4.247,15,53,2.39,0,0,0.03,246,195,171,388
16.13,0.811,3.298,4.289,97,93,2.36,0,0,0.21,237,183,154,426
16.79,0.805,3.33,4.321,84,82,2.35,0,0,0.23,238,165,145,452
16.66,0.828,3.34,4.356,81,73,2.32,0,0,0.15,231,146,149,474
16.42,0.82,3.34,4.343,103,72,2.31,0,0,0.22,225,160,141,474
16.44,0.8,3.281,4.265,106,56,2.36,0,0,0.19,238,193,131,438
16.76,0.804,3.338,4.328,125,103,2.33,0,0,0.29,226,181,141,452
16.42,0.81,3.331,4.324,20,74,2.33,0,0,0.06,227,181,140,452
16.9,0.784,3.287,4.255,81,79,2.39,0,0,0.2,248,194,135,423
16.54,0.797,3.29,4.268,66,49,2.4,0,0,0.14,252,183,132,433
16.2,0.808,3.268,4.256,60,59,2.43,0,0,0.13,265,183,132,420
16.83,0.804,3.214,4.203,113,74,2.55,0,0,0.24,312,166,130,392
16.5,0.823,3.192,4.199,114,107,2.52,0,0,0.26,299,187,137,377
16.2,0.821,3.237,4.24,60,59,2.48,0,0,0.11,284,187,138,391
16.16,0.83,3.24,4.248,72,100,2.41,0,0,0.2,250,232,139,379
16.84,0.822,3.261,4.262,83,81,2.46,0,0,0.14,276,195,131,398
16.82,0.833,3.275,4.286,51,75,2.48,0,0,0.14,285,174,136,405
16.08,0.806,3.266,4.256,60,88,2.52,0,0,0.21,296,194,125,385
16.38,0.798,3.261,4.243,92,81,2.5,0,0,0.21,288,205,130,377
16.19,0.806,3.239,4.224,77,70,2.52,0,0,0.19,296,207,121,376
16.17,0.81,3.251,4.24,82,72,2.47,0,0,0.17,270,235,114,381
16.29,0.827,3.294,4.298,77,87,2.38,0,0,0.15,238,225,131,406
16.65,0.825,3.294,4.293,100,67,2.33,0,0,0.24,216,249,124,411
16.17,0.811,3.302,4.286,22,83,2.34,0,0,0.07,218,258,110,414
16.11,0.825,3.306,4.3,41,95,2.34,0,0,0.12,219,242,124,415
16.55,0.809,3.308,4.287,65,116,2.32,0,0,0.23,210,254,130,406
16.25,0.809,3.327,4.306,66,88,2.28,0,0,0.16,194,252,143,411
16.34,0.812,3.274,4.259,98,88,2.28,0,0,0.2,193,270,155,382
16.84,0.817,3.249,4.235,60,52,2.28,0,0,0.11,189,280,151,380
16.52,0.834,3.24,4.246,74,78,2.28,0,0,0.16,193,262,164,381
16.68,0.849,3.293,4.318,111,84,2.26,0,0,0.25,190,245,150,415
16.54,0.842,3.301,4.317,59,97,2.26,0,0,0.23,190,242,136,432
15.98,0.834,3.301,4.313,68,116,2.28,0,0,0.19,198,242,135,425
16.51,0.846,3.344,4.365,102,99,2.29,0,0,0.26,210,199,128,463
16.85,0.831,3.322,4.33,47,69,2.35,0,0,0.08,231,195,129,445
17.02,0.833,3.294,4.306,57,83,2.41,0,0,0.14,256,186,118,440
16.03,0.832,3.348,4.36,91,86,2.37,0,0,0.17,248,160,132,460
16.28,0.842,3.357,4.377,109,74,2.32,0,0,0.22,225,183,136,456
16.1,0.834,3.415,4.426,91,77,2.29,0,0,0.2,218,161,133,488
16.4,0.834,3.394,4.409,25,59,2.3,0,0,0.08,218,168,142,472
15.92,0.861,3.343,4.387,43,68,2.31,0,0,0.12,219,188,143,450
16.16,0.861,3.354,4.398,89,99,2.32,0,0,0.28,224,188,127,461
16.43,0.87,3.359,4.413,51,79,2.3,0,0,0.13,215,184,137,464
16.24,0.878,3.357,4.418,55,61,2.31,0,0,0.11,221,170,130,479
16.01,0.881,3.357,4.417,127,100,2.23,0,0,0.27,186,208,139,467
16.55,0.886,3.338,4.401,42,106,2.26,0,0,0.15,195,207,130,468
16.45,0.876,3.316,4.37,86,65,2.3,0,0,0.17,210,219,123,448
16.43,0.859,3.318,4.353,117,57,2.29,0,0,0.23,205,230,129,436
16.8,0.845,3.319,4.34,56,54,2.3,0,0,0.15,205,242,134,419
16.78,0.853,3.358,4.39,72,77,2.29,0,0,0.21,205,213,138,444
16.66,0.876,3.364,4.418,56,60,2.26,0,0,0.17,196,201,141,462
16.67,0.873,3.364,4.415,37,68,2.26,0,0,0.1,198,201,143,458
16.74,0.88,3.387,4.447,75,73,2.21,0,0,0.18,177,206,144,473
16.58,0.869,3.352,4.4,75,76,2.24,0,0,0.15,189,207,158,446
16.19,0.872,3.379,4.43,51,86,2.17,0,0,0.13,154,243,152,451
