gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
30.33,3.701,3.025,6.924,42,1367,1.81,0,0,0.76,115,267,145,1973
30.78,3.753,3.022,6.979,46,1488,1.85,0,0,0.97,153,268,130,1949
30.23,3.75,3.022,6.971,23,1469,1.83,0,0,0.83,142,226,145,1987
30.73,3.708,3.023,6.929,50,1370,1.81,0,0,0.93,123,224,130,2023
30.7,3.898,3.021,7.114,58,1267,1.84,0,0,0.74,153,206,142,1999
30.74,3.852,3.024,7.073,31,1326,1.84,0,0,0.75,149,238,132,1981
30.48,3.845,3.025,7.066,42,1340,1.84,0,0,0.97,159,206,139,1996
30.55,3.743,3.026,6.969,38,1432,1.86,0,0,0.76,175,204,120,2001
30.66,3.753,3.023,6.977,21,1179,1.85,0,0,0.54,160,219,156,1965
30.49,3.761,3.026,6.985,38,1497,1.81,0,0,1.05,123,245,134,1998
31.12,3.867,3.026,7.086,17,1433,1.82,0,0,0.73,134,224,119,2023
30.84,3.842,3.028,7.065,66,1517,1.82,0,0,1.02,135,226,126,2013
29.78,3.964,3.026,7.184,36,1472,1.8,0,0,0.81,126,172,160,2042
30.25,4.033,3.042,7.276,89,1453,1.77,0,0,0.92,102,149,164,2085
30.7,3.711,3.046,6.952,50,1276,1.8,0,0,0.75,127,174,190,2009
30.64,3.781,3.047,7.025,33,1200,1.82,0,0,0.56,145,174,188,1993
30.8,3.689,3.046,6.931,20,1356,1.83,0,0,0.76,158,140,237,1965
30.69,3.733,3.044,6.972,59,1412,1.85,0,0,1.09,171,178,222,1929
30.86,3.828,3.045,7.058,66,1323,1.85,0,0,0.82,174,173,245,1908
30.88,3.778,3.044,7.011,26,1354,1.87,0,0,0.74,183,187,197,1933
30.25,3.734,3.042,6.97,37,1342,1.86,0,0,0.68,177,173,193,1957
30.46,3.821,3.042,7.053,37,1245,1.85,0,0,0.58,167,212,162,1959
30.84,3.948,3.042,7.175,36,1359,1.84,0,0,0.69,157,206,142,1995
29.85,3.974,3.043,7.197,48,1354,1.81,0,0,0.94,123,211,160,2006
29.78,3.895,3.043,7.124,53,1375,1.84,0,0,0.89,146,239,159,1956
30.53,3.939,3.056,7.179,55,1308,1.84,0,0,0.67,153,218,182,1947
30.01,3.812,3.049,7.054,60,1334,1.85,0,0,0.68,166,207,168,1959
30.72,3.596,3.047,6.833,48,1362,1.87,0,0,0.68,185,215,138,1962
30.73,3.732,3.045,6.969,29,1311,1.85,0,0,0.6,166,220,130,1984
30.71,3.768,3.046,7.011,25,1262,1.84,0,0,0.7,163,190,117,2030
30.49,3.766,3.042,7.003,45,1446,1.85,0,0,0.91,172,180,125,2023
30.02,3.738,3.042,6.976,36,1410,1.82,0,0,0.81,137,193,152,2018
