gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
81.37,0.724,3.515,4.386,3513,39,2.35,0.29,876,18.15,1227,534,1161,2078
81.09,0.633,3.648,4.413,2641,150,2.22,0.39,1189,12.33,972,652,1074,2302
81.67,0.71,3.685,4.527,2209,244,2.11,0.42,1278,12.53,759,696,1016,2529
82.79,0.625,3.622,4.383,3205,173,2.24,0.38,1149,13.36,988,738,970,2304
80.67,0.635,3.662,4.433,2459,103,2.17,0.4,1200,10.89,872,695,1127,2306
82.51,0.657,3.72,4.509,2203,144,2.08,0.42,1265,11.79,658,845,1151,2346
83.91,0.657,3.75,4.536,2781,241,2.14,0.46,1408,15.23,782,806,992,2420
84.5,0.628,3.771,4.526,2223,245,2.12,0.48,1460,10.68,772,709,953,2566
84.84,0.627,3.729,4.48,2318,158,2.14,0.46,1413,12.85,829,618,1031,2522
82.91,0.638,3.637,4.4,2375,177,2.19,0.45,1378,12.78,881,777,1057,2285
82.24,0.704,3.651,4.489,2102,211,2.12,0.45,1369,12.86,760,746,1057,2437
80.64,0.72,3.64,4.496,2202,262,2.13,0.37,1130,12.46,792,690,878,2640
79.51,0.673,3.673,4.48,2072,74,2.14,0.43,1311,11.79,812,715,952,2521
82.96,0.62,3.69,4.439,2573,167,2.21,0.45,1356,15.07,920,793,1005,2282
82.16,0.646,3.739,4.514,1962,324,2.16,0.46,1409,13.96,833,767,965,2435
80.63,0.665,3.699,4.491,2139,156,2.13,0.43,1302,11.24,784,712,947,2557
80.3,0.679,3.678,4.491,2090,241,2.13,0.41,1241,10.27,775,843,924,2458
80.95,0.665,3.653,4.453,2269,117,2.18,0.38,1154,10.83,884,750,938,2428
81.23,0.726,3.657,4.512,2412,222,2.13,0.39,1184,13.58,772,852,893,2483
81.99,0.671,3.742,4.542,2316,173,2.09,0.43,1323,13.66,703,738,966,2593
82.12,0.673,3.689,4.488,2284,187,2.13,0.42,1289,13.38,800,708,935,2557
83.66,0.646,3.68,4.46,2298,256,2.13,0.44,1337,13.81,773,843,1022,2362
82.09,0.65,3.723,4.505,2106,239,2.14,0.44,1329,13.24,807,761,1002,2430
82.49,0.618,3.741,4.488,2348,228,2.16,0.47,1443,10.38,842,685,1115,2358
82.55,0.63,3.755,4.512,2172,223,2.13,0.46,1412,10.7,787,693,1042,2478
83.61,0.612,3.701,4.44,2463,181,2.21,0.43,1299,10.64,934,707,934,2425
84.35,0.658,3.794,4.577,2180,235,2.09,0.51,1564,11.66,718,679,1006,2597
85.7,0.648,3.734,4.51,2360,350,2.16,0.46,1396,11.68,830,783,920,2467
83.84,0.645,3.705,4.477,2209,238,2.18,0.43,1323,13.79,879,716,776,2629
81.95,0.62,3.725,4.473,2431,178,2.19,0.47,1423,14.86,912,674,956,2458
80.79,0.685,3.593,4.413,2113,281,2.19,0.4,1215,11.62,892,733,1032,2343
79.21,0.691,3.617,4.445,2074,149,2.18,0.38,1163,12.77,906,628,941,2525
81.31,0.646,3.706,4.488,2512,209,2.13,0.46,1397,13.96,783,793,985,2439
81.14,0.644,3.687,4.461,2016,251,2.18,0.46,1393,12.6,883,680,1081,2356
82.34,0.638,3.692,4.456,2206,172,2.19,0.45,1361,14.3,905,673,1033,2389
83.52,0.704,3.656,4.494,2426,239,2.15,0.42,1273,12.72,843,633,1108,2416
81.73,0.699,3.62,4.454,1898,103,2.21,0.39,1187,10.17,943,654,1066,2337
82.08,0.698,3.652,4.477,2339,108,2.14,0.42,1269,13.89,801,740,1093,2366
81.73,0.667,3.653,4.451,2316,87,2.18,0.42,1283,10.87,883,741,1029,2347
81.56,0.666,3.613,4.41,1832,105,2.17,0.42,1264,9.73,848,812,1031,2309
81.89,0.656,3.607,4.394,2206,71,2.2,0.39,1181,13.11,934,677,923,2466
82.45,0.663,3.677,4.47,2596,112,2.13,0.44,1343,12.14,773,813,984,2430
82.54,0.645,3.758,4.534,2365,148,2.13,0.48,1458,11.49,777,729,1126,2368
81.38,0.62,3.691,4.443,2531,158,2.17,0.44,1340,11.97,858,719,1084,2339
81.39,0.666,3.647,4.447,2132,288,2.17,0.44,1348,14.06,849,791,1006,2354
82.0,0.643,3.684,4.455,2369,164,2.17,0.47,1439,13.16,859,674,1162,2305
82.56,0.549,3.774,4.442,2142,248,2.2,0.51,1547,9.65,926,688,1014,2372
82.97,0.655,3.669,4.455,2591,207,2.17,0.44,1339,12.44,869,662,1187,2282
81.52,0.679,3.615,4.429,2750,208,2.2,0.38,1160,13.83,906,755,1109,2230
83.21,0.67,3.663,4.466,2463,279,2.17,0.41,1245,14.87,875,645,1045,2435
83.66,0.692,3.674,4.5,2700,140,2.11,0.43,1302,17.88,752,722,1120,2406
83.54,0.616,3.754,4.496,2230,191,2.17,0.49,1480,12.97,873,632,1034,2461
82.91,0.652,3.707,4.49,2073,208,2.13,0.47,1415,14.63,800,649,1250,2301
82.66,0.65,3.68,4.455,2416,219,2.19,0.46,1399,14.33,919,597,1122,2362
82.58,0.661,3.596,4.392,2421,144,2.2,0.4,1209,14.15,917,743,1016,2324
82.81,0.673,3.724,4.524,2099,78,2.11,0.48,1465,13.51,765,647,1086,2502
83.16,0.653,3.834,4.607,2275,138,2.07,0.52,1589,14.55,682,619,1125,2574
81.53,0.62,3.678,4.427,2187,89,2.16,0.45,1365,13.27,844,746,1120,2290
82.56,0.647,3.634,4.415,2448,106,2.18,0.39,1199,11.5,869,737,1072,2322
82.92,0.649,3.699,4.476,2305,185,2.12,0.46,1393,14.44,773,704,998,2525
83.63,0.617,3.769,4.514,2616,180,2.14,0.46,1404,14.35,806,684,1113,2397
82.66,0.656,3.722,4.509,2221,99,2.12,0.47,1414,14.23,754,737,1128,2381
83.25,0.626,3.679,4.435,2948,244,2.22,0.42,1276,15.83,957,680,1045,2318
80.97,0.621,3.684,4.431,2004,243,2.21,0.45,1383,13.19,928,721,1054,2297
82.17,0.585,3.75,4.462,1984,169,2.15,0.47,1434,10.77,823,692,1097,2388
83.4,0.598,3.76,4.483,2024,262,2.13,0.49,1504,12.53,800,678,1096,2426
82.92,0.623,3.743,4.493,2510,183,2.13,0.49,1480,11.98,801,647,1108,2444
82.16,0.65,3.687,4.464,1564,132,2.12,0.48,1469,7.94,768,739,1116,2377
84.62,0.637,3.748,4.507,2402,175,2.11,0.49,1491,13.04,752,687,999,2562
83.29,0.657,3.667,4.455,2323,208,2.15,0.45,1364,11.07,825,697,1080,2398
83.1,0.636,3.688,4.451,2403,120,2.17,0.43,1299,13.25,866,653,1016,2465
81.46,0.623,3.741,4.491,2687,201,2.16,0.47,1428,17.6,817,832,873,2478
82.59,0.654,3.758,4.539,2444,294,2.12,0.49,1477,13.38,777,669,1041,2513
81.93,0.65,3.644,4.425,2424,213,2.2,0.43,1292,11.46,915,718,1159,2208
82.92,0.668,3.662,4.464,2456,141,2.15,0.4,1204,14.86,813,813,1094,2280
81.91,0.671,3.722,4.523,2304,157,2.13,0.45,1361,14.93,790,675,955,2580
