gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
50.21,0.693,3.579,4.434,2195,55,2.16,0.29,515,5.03,529,271,727,1473
47.15,0.713,3.524,4.396,637,0,2.12,0.28,497,1.35,487,271,839,1403
45.02,0.716,3.486,4.361,399,0,2.14,0.27,491,0.97,496,306,857,1341
44.84,0.705,3.476,4.343,471,19,2.13,0.28,505,1.46,476,373,837,1314
44.09,0.695,3.448,4.311,291,0,2.16,0.26,461,0.99,516,342,887,1255
43.64,0.696,3.477,4.34,614,23,2.1,0.31,555,1.25,447,374,876,1303
42.65,0.699,3.462,4.328,281,1,2.11,0.31,552,0.65,441,441,893,1225
42.65,0.722,3.461,4.346,426,22,2.07,0.32,579,1.01,395,472,895,1238
43.06,0.684,3.448,4.286,527,7,2.13,0.32,575,1.22,458,484,874,1184
42.37,0.697,3.421,4.275,519,1,2.16,0.29,518,1.12,493,441,902,1164
41.68,0.721,3.387,4.27,468,0,2.19,0.26,459,1.24,529,434,902,1135
40.14,0.696,3.399,4.251,334,0,2.19,0.28,498,0.93,529,459,939,1073
40.34,0.69,3.369,4.221,567,0,2.19,0.27,493,1.52,525,479,926,1070
40.81,0.685,3.376,4.222,706,3,2.18,0.27,486,1.52,528,409,1009,1054
40.69,0.712,3.353,4.229,395,0,2.16,0.25,457,1.18,498,447,990,1065
40.23,0.697,3.361,4.223,327,0,2.18,0.26,462,0.99,527,410,972,1091
40.55,0.673,3.337,4.175,448,0,2.21,0.25,450,1.5,554,441,951,1054
40.87,0.69,3.315,4.169,381,1,2.24,0.24,433,1.15,592,434,924,1050
41.07,0.734,3.324,4.215,528,9,2.22,0.27,486,1.26,569,448,871,1112
40.97,0.722,3.327,4.209,613,0,2.21,0.25,452,1.55,555,419,962,1064
40.08,0.715,3.329,4.204,379,3,2.22,0.25,447,1.0,557,463,873,1107
40.18,0.713,3.33,4.202,466,0,2.23,0.25,446,1.37,574,452,858,1116
40.63,0.717,3.334,4.215,391,0,2.19,0.23,412,1.14,519,495,897,1089
41.05,0.706,3.333,4.195,441,5,2.22,0.25,449,0.95,553,503,870,1074
40.74,0.721,3.326,4.203,452,0,2.18,0.25,450,1.13,512,515,906,1067
40.97,0.711,3.338,4.204,412,0,2.19,0.25,457,1.1,514,552,864,1070
40.27,0.717,3.331,4.203,338,0,2.19,0.25,445,0.96,511,558,844,1087
40.15,0.726,3.315,4.199,418,5,2.18,0.24,432,1.03,499,564,854,1083
39.16,0.714,3.304,4.175,447,0,2.21,0.24,432,1.25,529,581,854,1036
39.55,0.698,3.315,4.169,452,6,2.2,0.27,491,1.03,514,579,891,1016
39.76,0.711,3.317,4.187,504,0,2.2,0.27,482,1.37,521,539,909,1031
40.0,0.741,3.304,4.204,569,0,2.19,0.26,473,1.71,531,460,916,1093
39.73,0.749,3.319,4.227,377,0,2.15,0.27,478,0.77,483,438,982,1097
39.81,0.734,3.316,4.209,418,0,2.17,0.26,465,1.16,510,457,943,1090
39.19,0.742,3.312,4.216,421,0,2.15,0.25,446,1.28,483,464,992,1061
39.82,0.735,3.305,4.204,535,5,2.17,0.25,451,1.65,496,499,941,1064
40.46,0.708,3.332,4.197,569,5,2.18,0.27,481,1.3,504,506,978,1012
40.51,0.703,3.331,4.192,327,9,2.19,0.27,485,0.95,526,468,1010,996
40.53,0.694,3.342,4.194,475,5,2.19,0.28,503,1.27,517,535,947,1001
40.9,0.721,3.347,4.229,544,0,2.17,0.27,483,1.13,493,543,914,1050
40.51,0.709,3.335,4.207,466,10,2.18,0.26,469,1.3,508,543,873,1076
40.87,0.726,3.334,4.222,418,20,2.18,0.26,476,1.08,514,480,896,1110
39.88,0.705,3.329,4.194,346,4,2.21,0.26,477,0.85,538,546,840,1076
40.21,0.716,3.326,4.201,361,0,2.2,0.26,479,0.76,524,566,810,1100
41.15,0.694,3.32,4.173,631,9,2.2,0.28,502,1.86,533,519,926,1022
40.53,0.698,3.309,4.168,561,0,2.19,0.26,473,1.12,511,536,957,996
39.87,0.697,3.298,4.159,472,1,2.19,0.25,457,1.16,504,569,944,983
39.63,0.684,3.315,4.158,531,1,2.21,0.26,469,1.47,526,577,926,971
39.96,0.68,3.31,4.145,461,9,2.26,0.27,490,0.91,585,566,844,1005
39.55,0.685,3.313,4.157,287,0,2.23,0.26,476,0.71,553,581,858,1008
39.09,0.704,3.296,4.159,546,0,2.23,0.26,469,1.78,549,589,900,962
40.45,0.713,3.309,4.183,452,1,2.23,0.25,445,1.18,556,537,918,989
40.21,0.729,3.321,4.206,635,12,2.21,0.26,476,1.52,539,544,887,1030
40.05,0.711,3.323,4.185,405,4,2.26,0.28,506,1.0,603,498,836,1063
39.23,0.725,3.301,4.184,350,5,2.24,0.27,483,1.05,580,491,826,1103
39.45,0.723,3.291,4.178,611,1,2.23,0.25,460,1.27,573,486,873,1068
38.81,0.731,3.279,4.177,510,0,2.22,0.23,418,1.42,540,569,912,979
39.14,0.704,3.305,4.168,407,3,2.28,0.26,470,1.11,617,534,873,976
38.79,0.664,3.311,4.133,469,10,2.31,0.28,501,1.17,654,541,890,915
39.36,0.673,3.338,4.167,454,7,2.29,0.3,539,1.18,628,556,811,1005
39.86,0.655,3.336,4.15,510,3,2.26,0.3,540,1.36,596,515,941,948
39.73,0.68,3.35,4.187,437,3,2.23,0.3,546,1.42,570,499,902,1029
39.31,0.721,3.349,4.221,508,0,2.2,0.31,551,1.34,539,462,905,1094
40.45,0.748,3.344,4.248,389,0,2.16,0.28,507,1.02,493,484,888,1135
41.18,0.738,3.349,4.238,623,13,2.2,0.3,534,1.57,543,442,890,1125
40.39,0.721,3.337,4.212,459,21,2.23,0.29,524,1.45,573,449,914,1064
39.66,0.712,3.334,4.205,425,2,2.22,0.27,494,0.84,566,454,968,1012
40.83,0.706,3.346,4.209,625,14,2.24,0.27,483,1.68,593,448,845,1114
41.06,0.69,3.357,4.206,387,1,2.24,0.28,499,1.14,595,440,874,1091
41.0,0.727,3.355,4.254,425,0,2.14,0.25,449,1.22,464,497,926,1113
40.17,0.731,3.339,4.241,408,0,2.14,0.25,452,1.2,461,486,983,1070
40.25,0.733,3.341,4.244,456,12,2.12,0.25,452,1.03,431,529,951,1089
39.99,0.704,3.34,4.211,402,0,2.19,0.26,461,1.09,511,553,885,1051
39.54,0.714,3.333,4.206,638,4,2.21,0.25,461,1.47,543,540,821,1096
40.29,0.693,3.363,4.213,490,0,2.21,0.26,462,1.17,540,529,801,1130
40.44,0.694,3.356,4.206,510,0,2.25,0.25,459,1.05,589,485,815,1111
40.23,0.705,3.365,4.233,443,0,2.19,0.25,459,0.97,517,510,823,1150
40.96,0.714,3.349,4.228,454,0,2.15,0.25,451,0.98,472,505,879,1144
40.71,0.704,3.359,4.231,466,2,2.14,0.27,490,0.93,460,532,896,1112
40.15,0.698,3.354,4.221,292,0,2.17,0.27,493,0.6,486,539,891,1084
40.24,0.688,3.339,4.193,434,19,2.2,0.26,478,1.26,528,540,903,1029
39.61,0.687,3.325,4.179,543,0,2.2,0.25,449,1.4,532,492,948,1028
40.12,0.684,3.326,4.172,470,0,2.22,0.24,438,1.12,563,474,928,1035
39.95,0.7,3.311,4.173,447,0,2.21,0.24,427,1.15,547,497,904,1052
39.38,0.755,3.329,4.252,491,6,2.12,0.25,446,1.16,442,479,903,1176
38.92,0.76,3.337,4.263,425,5,2.09,0.26,466,1.16,403,507,916,1174
41.01,0.738,3.353,4.255,604,7,2.12,0.26,468,1.39,444,516,918,1122
40.53,0.731,3.357,4.246,366,2,2.17,0.25,460,1.0,502,477,869,1152
41.38,0.729,3.344,4.231,589,0,2.18,0.25,446,1.27,517,446,879,1158
40.68,0.733,3.336,4.228,350,0,2.18,0.25,450,0.82,523,454,889,1134
41.25,0.706,3.35,4.211,576,13,2.2,0.26,476,1.44,539,488,892,1081
40.47,0.71,3.341,4.212,388,0,2.21,0.25,455,1.4,552,480,892,1076
39.8,0.726,3.331,4.216,488,1,2.23,0.25,444,1.18,579,429,923,1069
40.14,0.715,3.32,4.196,383,0,2.24,0.24,424,1.56,579,479,885,1057
40.12,0.735,3.311,4.205,539,0,2.21,0.24,430,1.79,550,442,944,1064
40.05,0.739,3.302,4.201,449,5,2.2,0.24,430,1.11,546,418,991,1045
39.69,0.758,3.294,4.208,482,0,2.17,0.25,444,1.39,510,434,966,1090
