gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
48.27,1.199,3.916,5.28,610,2511,2.01,0.26,470,0.36,409,90,402,2099
47.05,1.215,3.93,5.309,144,924,2.0,0.26,470,0.07,387,99,369,2145
45.96,1.254,3.939,5.356,123,976,1.99,0.26,470,0.07,374,120,348,2158
46.21,1.266,3.934,5.365,121,1204,1.97,0.26,470,0.09,342,198,362,2098
45.01,1.231,3.937,5.333,120,963,2.01,0.26,470,0.07,385,179,365,2071
45.2,1.247,3.935,5.361,105,1158,1.97,0.26,470,0.09,342,180,376,2102
44.34,1.227,3.941,5.343,102,848,1.96,0.26,470,0.05,333,200,397,2070
43.82,1.319,3.956,5.451,85,993,1.92,0.26,470,0.08,284,218,360,2138
43.92,1.234,3.947,5.348,120,1093,1.92,0.26,470,0.08,279,251,342,2128
43.2,1.211,3.971,5.348,124,1158,1.91,0.26,470,0.09,267,203,329,2201
43.6,1.24,3.967,5.373,77,1217,1.91,0.26,470,0.1,263,225,359,2153
42.8,1.199,3.969,5.332,66,912,1.92,0.26,470,0.07,282,210,399,2109
42.21,1.23,3.962,5.359,148,1195,1.94,0.26,470,0.13,293,250,338,2119
42.68,1.247,3.962,5.375,166,1272,1.97,0.26,470,0.13,333,212,348,2107
42.74,1.224,3.947,5.337,68,1254,1.99,0.26,470,0.09,356,207,372,2065
43.61,1.185,3.945,5.301,108,1166,2.01,0.26,470,0.09,389,151,396,2064
43.02,1.173,3.949,5.29,81,1059,1.98,0.26,470,0.06,360,160,444,2036
42.51,1.124,3.927,5.214,160,1392,2.01,0.26,470,0.1,384,174,464,1978
42.8,1.106,3.918,5.179,88,1449,2.02,0.26,470,0.09,388,218,461,1933
41.7,1.138,3.909,5.206,79,1551,2.02,0.26,470,0.09,396,177,447,1980
42.11,1.136,3.922,5.219,115,1036,1.98,0.26,470,0.07,360,168,446,2026
41.89,1.156,3.922,5.235,141,1246,2.03,0.26,470,0.07,420,121,378,2081
41.23,1.18,3.928,5.269,97,1175,1.98,0.26,470,0.07,363,160,401,2076
42.28,1.136,3.916,5.208,154,1167,2.0,0.26,470,0.11,378,163,409,2050
41.98,1.144,3.922,5.223,113,1185,2.01,0.26,470,0.06,392,133,406,2069
41.78,1.124,3.917,5.2,113,1293,2.01,0.26,470,0.1,388,160,364,2088
40.67,1.128,3.914,5.199,73,1236,2.03,0.26,470,0.06,422,152,357,2069
41.08,1.11,3.923,5.192,132,1230,2.04,0.26,470,0.11,425,153,334,2088
40.52,1.104,3.929,5.189,134,1377,2.0,0.26,470,0.12,386,154,393,2067
40.34,1.149,3.927,5.235,106,1300,1.99,0.26,470,0.08,365,179,384,2072
40.4,1.176,3.932,5.269,72,1494,1.96,0.26,470,0.08,336,159,433,2072
