gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
36.76,1.502,3.902,5.574,25,1655,1.82,0.26,470,0.52,171,187,323,2319
36.87,1.487,3.9,5.553,24,1523,1.8,0.26,470,0.54,151,207,342,2300
36.36,1.45,3.899,5.507,32,1808,1.79,0.26,470,0.77,133,225,361,2281
36.9,1.524,3.899,5.582,15,1510,1.79,0.26,470,0.42,138,210,305,2347
36.37,1.482,3.899,5.539,18,1615,1.81,0.26,470,0.58,159,198,305,2338
37.28,1.517,3.899,5.579,41,1425,1.8,0.26,470,0.45,146,200,303,2351
37.0,1.544,3.899,5.609,18,1653,1.77,0.26,470,0.53,115,173,298,2414
37.18,1.581,3.902,5.656,32,1545,1.76,0.26,470,0.68,114,169,280,2437
36.84,1.583,3.902,5.658,20,1195,1.77,0.26,470,0.3,116,188,265,2431
37.29,1.527,3.901,5.599,30,1611,1.77,0.26,470,0.55,113,220,269,2398
36.73,1.523,3.901,5.594,31,1691,1.81,0.26,470,0.62,161,179,324,2336
37.33,1.496,3.898,5.558,48,1578,1.82,0.26,470,0.59,169,180,333,2318
37.15,1.484,3.9,5.543,25,1650,1.78,0.26,470,0.6,128,192,299,2381
36.87,1.461,3.9,5.526,24,1642,1.78,0.26,470,0.6,126,171,324,2379
36.87,1.501,3.902,5.569,23,1500,1.76,0.26,470,0.56,109,190,258,2443
36.37,1.535,3.902,5.601,17,1766,1.75,0.26,470,0.62,97,182,247,2474
36.4,1.533,3.907,5.598,45,1416,1.78,0.26,470,0.51,134,160,235,2471
36.54,1.483,3.905,5.548,44,1740,1.78,0.26,470,0.61,121,204,271,2404
36.66,1.47,3.906,5.536,38,1457,1.79,0.26,470,0.5,144,188,300,2368
36.83,1.48,3.908,5.545,20,1950,1.79,0.26,470,0.71,143,195,291,2371
37.14,1.468,3.911,5.539,34,1600,1.8,0.26,470,0.53,146,193,322,2339
36.41,1.433,3.911,5.505,23,1500,1.81,0.26,470,0.4,160,180,341,2319
36.61,1.414,3.912,5.484,26,1822,1.8,0.26,470,0.77,149,188,330,2333
36.73,1.474,3.913,5.544,20,1730,1.79,0.26,470,0.6,140,151,350,2359
36.82,1.439,3.914,5.51,19,1657,1.82,0.26,470,0.54,179,138,372,2311
36.56,1.476,3.914,5.545,30,1767,1.78,0.26,470,0.55,130,152,377,2341
36.09,1.499,3.918,5.571,33,1492,1.79,0.26,470,0.45,150,131,327,2392
36.13,1.478,3.922,5.56,18,1506,1.81,0.26,470,0.39,160,162,361,2317
36.44,1.521,3.922,5.603,13,1732,1.78,0.26,470,0.55,130,168,365,2337
36.82,1.473,3.926,5.565,63,1724,1.78,0.26,470,0.68,135,170,340,2355
36.6,1.536,3.928,5.629,52,1633,1.77,0.26,470,0.57,125,167,332,2376
37.18,1.536,3.927,5.63,33,1401,1.78,0.26,470,0.37,135,176,300,2389
37.02,1.516,3.926,5.608,35,1532,1.77,0.26,470,0.49,109,219,288,2384
37.0,1.495,3.925,5.583,29,1798,1.81,0.26,470,0.6,160,204,314,2322
36.72,1.531,3.924,5.616,22,1613,1.78,0.26,470,0.51,125,210,335,2330
37.24,1.507,3.921,5.589,45,1686,1.78,0.26,470,0.62,133,182,336,2349
36.75,1.457,3.922,5.541,27,1741,1.77,0.26,470,0.6,113,221,319,2347
36.47,1.452,3.921,5.533,19,1421,1.79,0.26,470,0.45,133,193,317,2357
36.5,1.434,3.92,5.513,15,1793,1.79,0.26,470,0.64,133,190,333,2344
36.74,1.411,3.922,5.496,27,1696,1.8,0.26,470,0.55,143,235,299,2323
36.91,1.409,3.922,5.493,32,1779,1.8,0.26,470,0.62,144,240,265,2351
36.81,1.433,3.924,5.513,20,1428,1.78,0.26,470,0.37,115,247,293,2345
36.46,1.456,3.924,5.535,37,1846,1.79,0.26,470,0.85,132,231,267,2370
36.81,1.485,3.923,5.569,19,1424,1.78,0.26,470,0.37,122,206,266,2406
36.69,1.481,3.918,5.554,12,1655,1.79,0.26,470,0.58,140,198,265,2397
