gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
91.08,1.386,3.593,5.181,526,5096,1.85,0.17,626,14.91,311,905,652,4132
87.27,1.418,3.599,5.214,132,4456,1.91,0.17,626,11.65,500,579,818,4103
85.74,1.664,3.602,5.461,192,4841,1.85,0.17,626,10.27,395,535,620,4450
84.71,1.656,3.606,5.458,179,5105,1.84,0.17,626,12.81,372,394,939,4295
83.55,1.638,3.618,5.462,398,4977,1.8,0.17,626,13.08,278,434,789,4499
82.87,1.74,3.635,5.567,231,5446,1.79,0.17,626,14.88,286,321,713,4680
81.64,1.782,3.639,5.615,127,5834,1.76,0.17,626,13.36,193,420,816,4571
81.03,1.771,3.637,5.606,101,5529,1.74,0.17,626,13.25,153,449,838,4560
79.74,1.823,3.632,5.645,142,5104,1.78,0.17,626,11.56,261,330,704,4705
80.62,1.76,3.634,5.592,78,5447,1.81,0.17,626,13.29,328,368,828,4476
80.62,1.848,3.64,5.696,103,5300,1.77,0.17,626,9.84,227,331,923,4519
79.69,1.857,3.643,5.697,83,5879,1.77,0.17,626,10.32,234,410,750,4606
79.41,1.928,3.641,5.767,87,5769,1.8,0.17,626,10.78,290,496,635,4579
78.36,1.955,3.641,5.798,56,5979,1.77,0.17,626,12.5,235,372,617,4776
79.26,1.933,3.643,5.769,56,5707,1.78,0.17,626,9.4,263,357,634,4746
78.39,1.909,3.64,5.745,26,5701,1.83,0.17,626,13.04,385,268,613,4734
77.3,1.918,3.645,5.755,58,6008,1.82,0.17,626,14.62,373,241,431,4955
78.76,2.072,3.645,5.921,39,5488,1.72,0.17,626,11.1,157,171,577,5095
79.32,2.1,3.645,5.952,44,5618,1.77,0.17,626,10.88,256,235,506,5003
77.86,2.01,3.645,5.864,41,5432,1.77,0.17,626,10.58,229,382,486,4903
78.39,1.992,3.645,5.826,35,5110,1.75,0.17,626,10.08,204,285,767,4744
78.18,2.013,3.644,5.851,48,5654,1.78,0.17,626,11.43,272,296,606,4826
77.55,2.006,3.643,5.844,54,5654,1.78,0.17,626,12.57,277,315,572,4836
77.19,2.013,3.642,5.855,61,5727,1.78,0.17,626,9.0,284,241,674,4801
76.92,1.979,3.642,5.821,8,5783,1.77,0.17,626,9.56,250,239,721,4790
77.8,2.034,3.644,5.872,30,5268,1.75,0.17,626,9.67,221,192,523,5064
78.34,2.117,3.643,5.962,19,5584,1.72,0.17,626,9.89,137,308,569,4986
78.64,1.954,3.641,5.786,23,5461,1.79,0.17,626,10.62,294,274,534,4898
77.95,2.026,3.641,5.863,36,5575,1.75,0.17,626,11.18,226,223,627,4924
78.61,1.985,3.644,5.828,40,5710,1.74,0.17,626,11.54,178,333,660,4829
77.58,2.013,3.644,5.859,35,4976,1.74,0.17,626,7.43,190,251,568,4991
77.89,1.901,3.644,5.74,40,5790,1.75,0.17,626,11.06,228,182,696,4894
76.99,1.922,3.646,5.769,36,5526,1.79,0.17,626,11.02,294,241,586,4879
77.25,1.914,3.644,5.758,42,6065,1.74,0.17,626,12.26,176,245,819,4760
77.44,1.965,3.647,5.814,74,5857,1.76,0.17,626,12.15,253,192,441,5114
77.09,2.03,3.647,5.867,32,5572,1.72,0.17,626,10.77,163,112,567,5158
75.73,1.988,3.645,5.832,24,5813,1.69,0.17,626,10.27,73,239,621,5067
76.69,1.933,3.647,5.775,40,5746,1.76,0.17,626,11.82,251,165,626,4958
77.44,2.001,3.644,5.844,25,5886,1.74,0.17,626,9.39,206,216,537,5041
76.56,1.902,3.647,5.751,28,5732,1.77,0.17,626,8.61,265,261,529,4945
77.71,1.927,3.646,5.784,31,5775,1.74,0.17,626,9.64,168,331,617,4884
76.85,1.976,3.646,5.832,41,5732,1.72,0.17,626,9.28,137,294,632,4937
76.04,1.883,3.647,5.73,79,5776,1.76,0.17,626,8.96,225,304,731,4740
76.53,1.771,3.646,5.611,25,5530,1.83,0.17,626,9.29,364,350,735,4551
76.22,1.885,3.646,5.739,46,5776,1.75,0.17,626,11.55,195,295,618,4892
77.22,1.928,3.647,5.763,16,5940,1.83,0.17,626,12.32,379,331,421,4869
76.3,2.024,3.647,5.863,33,6155,1.76,0.17,626,12.56,241,216,613,4930
76.41,1.988,3.647,5.83,13,5998,1.75,0.17,626,12.05,203,308,497,4992
76.43,2.012,3.649,5.864,13,6213,1.72,0.17,626,12.74,139,292,555,5014
76.0,2.097,3.649,5.945,21,5284,1.7,0.17,626,9.3,106,198,628,5068
75.38,2.028,3.648,5.884,36,5884,1.72,0.17,626,9.31,141,284,681,4894
76.25,1.967,3.647,5.814,20,5941,1.75,0.17,626,10.67,206,288,671,4835
75.71,1.993,3.649,5.835,21,5864,1.75,0.17,626,11.22,220,195,583,5002
76.11,1.998,3.648,5.846,34,5797,1.8,0.17,626,9.91,332,287,465,4916
76.34,2.007,3.649,5.858,36,5541,1.74,0.17,626,8.16,193,291,592,4924
76.19,1.977,3.651,5.822,32,5773,1.75,0.17,626,11.7,197,388,559,4856
76.05,1.98,3.648,5.823,34,5814,1.73,0.17,626,10.98,151,375,595,4879
75.98,1.968,3.648,5.823,35,5648,1.74,0.17,626,9.75,188,282,595,4935
75.29,1.913,3.648,5.757,34,5363,1.81,0.17,626,11.31,327,324,602,4747
76.06,1.903,3.645,5.745,24,5868,1.81,0.17,626,8.98,351,294,522,4833
76.49,1.979,3.647,5.823,24,6186,1.75,0.17,626,11.69,194,291,669,4846
75.18,2.03,3.649,5.866,39,5820,1.75,0.17,626,11.92,192,318,613,4877
74.93,1.97,3.646,5.8,28,5644,1.79,0.17,626,7.76,300,232,573,4895
75.1,2.086,3.645,5.928,21,5402,1.74,0.17,626,8.66,189,274,612,4925
75.69,2.153,3.649,5.997,34,6185,1.73,0.17,626,11.76,161,286,508,5045
74.47,2.008,3.653,5.852,29,6242,1.79,0.17,626,12.8,309,258,579,4854
75.61,1.998,3.649,5.844,34,6141,1.75,0.17,626,10.12,202,346,544,4908
75.54,2.041,3.653,5.887,17,6154,1.73,0.17,626,9.82,169,283,572,4976
75.15,2.025,3.652,5.881,23,5903,1.74,0.17,626,9.15,183,231,716,4870
