gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
87.47,0.861,3.309,4.36,3144,76,2.09,0.24,883,31.92,770,1256,1459,2515
87.0,0.871,3.273,4.339,3145,32,2.09,0.22,809,26.63,776,1243,1375,2606
87.23,0.886,3.296,4.378,2628,37,2.05,0.23,838,20.49,692,1261,1443,2604
85.71,0.906,3.261,4.365,2644,95,2.09,0.21,757,24.65,776,1240,1390,2594
86.52,0.884,3.291,4.362,2970,63,2.07,0.25,902,26.57,733,1227,1472,2568
86.26,0.869,3.295,4.349,2722,33,2.07,0.22,805,25.18,739,1229,1613,2419
85.43,0.828,3.311,4.329,2606,0,2.11,0.24,868,26.15,826,1179,1534,2461
86.25,0.887,3.285,4.359,2473,67,2.12,0.24,852,24.05,874,1089,1425,2612
86.0,0.848,3.302,4.335,2821,75,2.09,0.25,904,30.41,786,1207,1574,2433
85.72,0.868,3.286,4.351,2668,55,2.11,0.22,813,24.02,857,1061,1611,2471
85.09,0.852,3.306,4.345,2717,77,2.13,0.26,960,26.17,885,1132,1491,2492
84.88,0.881,3.304,4.375,2215,44,2.05,0.25,918,24.54,718,1124,1596,2562
84.61,0.849,3.303,4.341,2636,53,2.06,0.24,862,26.95,707,1191,1695,2407
86.3,0.876,3.271,4.342,2954,122,2.07,0.21,771,26.8,722,1259,1527,2492
85.58,0.869,3.272,4.335,2558,33,2.12,0.21,776,23.36,867,1181,1330,2622
85.75,0.877,3.28,4.333,2692,71,2.1,0.23,837,26.13,812,1189,1500,2499
85.76,0.88,3.285,4.349,2608,42,2.07,0.26,944,22.66,721,1293,1473,2513
84.89,0.873,3.279,4.338,2396,24,2.09,0.26,936,26.02,776,1229,1497,2498
86.12,0.846,3.273,4.306,2834,27,2.14,0.22,801,30.4,886,1229,1480,2405
86.21,0.857,3.293,4.335,3123,78,2.06,0.26,929,23.82,664,1458,1525,2353
86.26,0.835,3.299,4.325,2294,13,2.1,0.23,838,22.24,785,1300,1515,2400
85.4,0.869,3.293,4.362,3138,45,2.07,0.2,740,27.92,758,1147,1653,2442
87.25,0.888,3.291,4.37,3006,17,2.07,0.24,856,30.41,738,1189,1415,2658
87.74,0.86,3.302,4.35,2771,41,2.12,0.25,923,28.01,852,1206,1312,2630
87.78,0.853,3.305,4.357,2544,15,2.07,0.24,888,26.13,739,1273,1373,2615
88.25,0.88,3.352,4.42,2729,34,2.01,0.29,1041,26.26,591,1267,1377,2765
87.9,0.896,3.328,4.411,2540,110,2.02,0.26,963,22.93,653,1131,1416,2800
88.84,0.851,3.333,4.371,2881,78,2.07,0.27,968,26.12,760,1121,1454,2665
87.26,0.878,3.323,4.381,2573,118,2.03,0.26,959,24.14,642,1193,1529,2636
87.12,0.824,3.346,4.352,2610,90,2.06,0.27,997,22.22,702,1224,1585,2489
87.23,0.864,3.306,4.371,2718,36,2.03,0.24,869,24.93,651,1229,1508,2612
86.84,0.859,3.299,4.347,2910,41,2.06,0.24,887,23.64,699,1272,1540,2489
85.53,0.849,3.298,4.34,2607,32,2.07,0.25,907,23.26,720,1293,1389,2598
85.81,0.891,3.297,4.375,2550,60,2.07,0.25,900,23.31,742,1195,1447,2616
85.75,0.883,3.292,4.364,2449,45,2.06,0.26,952,27.63,710,1281,1476,2533
86.63,0.885,3.285,4.359,2633,70,2.1,0.24,862,22.45,796,1239,1376,2589
84.99,0.873,3.274,4.338,2377,86,2.07,0.24,865,21.43,705,1367,1508,2420
83.98,0.866,3.258,4.318,2273,77,2.08,0.24,870,25.98,724,1475,1407,2394
85.33,0.895,3.274,4.364,3168,30,2.08,0.25,893,30.12,751,1262,1460,2527
86.16,0.87,3.283,4.334,2734,52,2.07,0.24,877,23.07,721,1335,1512,2432
85.59,0.893,3.276,4.347,2348,28,2.08,0.25,893,21.75,784,1139,1546,2531
86.19,0.884,3.266,4.331,2941,43,2.07,0.2,723,25.55,695,1395,1456,2454
85.76,0.873,3.285,4.339,2599,41,2.07,0.23,843,27.56,726,1236,1568,2470
87.15,0.882,3.304,4.378,2994,47,2.07,0.24,874,26.09,758,1137,1412,2693
87.29,0.85,3.321,4.361,2838,9,2.06,0.25,891,24.49,698,1252,1516,2534
89.32,0.854,3.334,4.366,2852,16,2.05,0.26,939,29.82,689,1244,1443,2624
89.07,0.852,3.344,4.379,2830,90,2.05,0.27,964,26.85,696,1212,1388,2704
89.91,0.857,3.321,4.369,2657,45,2.08,0.24,865,28.42,759,1277,1221,2743
88.51,0.859,3.295,4.354,2337,0,2.14,0.23,838,23.23,907,1226,1275,2592
86.52,0.898,3.284,4.37,2422,58,2.06,0.24,864,23.96,706,1225,1546,2523
86.25,0.857,3.252,4.294,2458,24,2.12,0.22,806,23.22,835,1351,1537,2277
86.96,0.873,3.296,4.36,2725,81,2.08,0.24,851,27.32,748,1250,1502,2500
87.23,0.861,3.301,4.345,3300,32,2.06,0.24,859,32.44,713,1256,1545,2486
87.83,0.911,3.301,4.409,3426,22,2.04,0.23,817,30.1,670,1202,1428,2700
86.93,0.869,3.297,4.357,2616,49,2.09,0.22,804,25.05,763,1310,1309,2618
86.33,0.88,3.289,4.353,2697,42,2.07,0.23,844,25.02,720,1331,1441,2508
86.36,0.869,3.296,4.358,2588,70,2.06,0.21,777,26.27,705,1319,1441,2535
86.75,0.878,3.305,4.379,2593,65,2.05,0.23,825,28.17,674,1297,1382,2647
86.88,0.859,3.3,4.345,2788,101,2.06,0.22,812,27.39,711,1237,1524,2528
87.59,0.867,3.29,4.346,3110,94,2.09,0.22,816,26.09,770,1309,1463,2458
86.42,0.873,3.3,4.365,2708,49,2.05,0.22,787,21.82,674,1293,1568,2465
87.39,0.864,3.301,4.345,2666,75,2.1,0.26,960,25.79,780,1331,1315,2574
87.84,0.872,3.329,4.383,2731,39,2.07,0.26,948,26.51,746,1154,1406,2694
88.01,0.892,3.341,4.42,2828,90,2.03,0.25,908,22.13,628,1292,1377,2703
87.25,0.917,3.333,4.442,2857,83,2.02,0.24,885,24.03,612,1252,1264,2872
87.68,0.912,3.325,4.425,2835,56,2.0,0.24,880,27.25,589,1212,1487,2712
87.96,0.892,3.333,4.417,2972,83,2.02,0.25,892,26.28,624,1205,1372,2799
86.75,0.86,3.306,4.363,2839,56,2.07,0.22,805,27.98,729,1274,1458,2539
85.49,0.884,3.282,4.354,2968,54,2.06,0.2,708,22.83,687,1313,1521,2479
85.16,0.851,3.298,4.339,3001,40,2.07,0.23,834,27.9,714,1295,1581,2410
