gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
70.51,2.505,3.594,6.293,23,5200,1.74,0.09,318,9.44,177,262,338,4723
69.9,2.492,3.593,6.273,26,4994,1.76,0.09,318,8.03,226,240,313,4721
70.38,2.476,3.589,6.258,34,5294,1.77,0.1,318,8.89,230,262,415,4593
70.13,2.482,3.593,6.26,29,5154,1.78,0.09,318,8.37,260,229,410,4601
69.67,2.611,3.59,6.388,17,5088,1.72,0.09,318,8.92,146,157,441,4756
69.58,2.609,3.59,6.388,31,5373,1.68,0.09,318,9.67,55,209,471,4765
69.24,2.677,3.59,6.46,33,5215,1.69,0.09,318,7.74,93,179,244,4984
69.6,2.542,3.587,6.311,10,5379,1.75,0.1,318,8.23,179,306,297,4718
70.38,2.555,3.588,6.329,40,5748,1.73,0.09,318,8.18,158,257,282,4803
68.74,2.675,3.586,6.449,41,5719,1.7,0.09,318,11.68,87,283,273,4857
69.57,2.483,3.586,6.249,12,5626,1.72,0.09,318,10.53,135,277,405,4683
67.86,2.66,3.586,6.429,31,5110,1.75,0.09,318,10.03,218,105,283,4894
69.42,2.825,3.584,6.595,31,5525,1.7,0.09,318,11.55,112,100,238,5050
68.71,2.581,3.584,6.353,30,5192,1.69,0.09,318,10.59,74,188,265,4973
69.73,2.605,3.587,6.375,15,4857,1.69,0.09,318,9.2,78,189,375,4858
70.24,2.544,3.586,6.318,39,5068,1.7,0.09,318,7.91,115,166,383,4836
69.92,2.406,3.586,6.185,20,5228,1.74,0.09,318,10.48,168,284,287,4761
69.47,2.451,3.584,6.221,25,4861,1.72,0.09,318,7.14,137,190,250,4923
69.38,2.419,3.586,6.188,13,4968,1.76,0.09,318,6.9,233,155,351,4761
68.37,2.442,3.586,6.215,14,5042,1.74,0.09,318,8.31,190,217,358,4735
69.3,2.481,3.587,6.256,14,5204,1.74,0.09,318,9.61,157,292,414,4637
70.13,2.569,3.585,6.333,25,4714,1.71,0.1,318,7.35,121,179,458,4742
68.46,2.641,3.588,6.41,11,4873,1.71,0.1,318,7.15,137,164,381,4818
69.14,2.59,3.586,6.36,26,5609,1.74,0.1,318,8.31,203,147,370,4780
69.07,2.593,3.584,6.357,15,5610,1.73,0.1,318,9.95,158,219,363,4760
69.37,2.639,3.585,6.422,36,5050,1.72,0.1,318,7.66,145,208,298,4849
69.2,2.689,3.589,6.465,24,5271,1.68,0.09,318,9.54,53,244,195,5008
68.79,2.513,3.588,6.289,16,5245,1.77,0.1,318,8.65,231,234,362,4673
69.03,2.484,3.584,6.249,10,5366,1.73,0.1,318,8.35,146,220,526,4608
67.62,2.463,3.59,6.244,32,5681,1.77,0.1,318,9.53,227,238,442,4593
68.43,2.461,3.59,6.239,19,5470,1.74,0.1,318,9.28,164,265,506,4565
68.94,2.46,3.592,6.244,46,5060,1.79,0.1,318,8.12,286,183,465,4566
68.58,2.486,3.593,6.273,7,4992,1.73,0.1,318,9.27,163,235,445,4657
69.28,2.517,3.594,6.288,60,5405,1.69,0.09,318,10.86,62,306,480,4652
69.03,2.521,3.595,6.301,18,5705,1.77,0.1,318,8.89,203,378,371,4548
70.2,2.488,3.593,6.276,22,4593,1.78,0.1,318,8.63,228,345,427,4500
69.59,2.528,3.592,6.309,10,5373,1.73,0.1,318,8.27,140,296,429,4635
68.49,2.569,3.594,6.353,26,5322,1.72,0.1,318,7.4,125,282,476,4617
68.6,2.627,3.596,6.421,39,5669,1.71,0.1,318,9.56,119,266,349,4766
67.81,2.68,3.596,6.469,36,5123,1.7,0.1,318,7.08,99,244,371,4786
68.39,2.713,3.593,6.499,7,5213,1.75,0.1,318,8.83,208,241,259,4792
69.29,2.677,3.595,6.454,17,5380,1.75,0.1,318,7.12,192,250,423,4635
69.03,2.701,3.594,6.481,20,5226,1.72,0.1,318,9.79,130,299,325,4746
68.68,2.57,3.595,6.347,12,5726,1.81,0.09,318,11.56,342,178,319,4661
68.27,2.594,3.596,6.378,5,5310,1.82,0.1,318,8.32,335,240,332,4593
69.3,2.416,3.595,6.198,26,5302,1.77,0.1,318,8.27,241,256,338,4665
69.07,2.432,3.592,6.205,26,4908,1.74,0.1,318,8.59,169,247,472,4612
69.27,2.64,3.592,6.42,42,4979,1.68,0.1,318,8.79,74,146,423,4857
68.87,2.528,3.592,6.307,12,4584,1.71,0.09,318,6.15,124,217,360,4799
68.56,2.441,3.593,6.224,21,5028,1.73,0.09,318,9.05,141,264,356,4739
68.91,2.46,3.587,6.236,22,5323,1.73,0.1,318,7.95,171,174,427,4728
69.04,2.521,3.588,6.288,24,5596,1.75,0.1,318,11.02,198,195,388,4719
69.02,2.429,3.59,6.207,15,5276,1.75,0.1,318,8.34,187,262,336,4715
69.15,2.485,3.587,6.257,76,5050,1.72,0.1,318,9.98,111,332,397,4660
