gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
89.42,0.879,3.42,4.477,3567,35,2.06,0.2,656,26.1,657,1136,1122,2585
86.19,0.821,3.43,4.415,2536,14,2.07,0.27,882,23.76,659,1225,1144,2472
87.48,0.831,3.398,4.394,2631,26,2.01,0.26,860,18.95,531,1215,1333,2421
85.66,0.853,3.361,4.38,2695,65,2.07,0.27,894,24.84,712,957,1286,2545
85.76,0.83,3.368,4.358,2849,37,2.03,0.3,1004,24.99,622,915,1480,2483
86.65,0.838,3.399,4.397,2550,0,1.94,0.34,1119,20.76,444,951,1488,2617
85.27,0.841,3.375,4.375,2503,76,1.99,0.29,960,21.0,527,990,1489,2494
85.34,0.895,3.379,4.441,2591,37,1.95,0.27,897,19.13,452,1018,1223,2807
84.7,0.847,3.339,4.358,2763,60,2.02,0.25,833,23.08,604,951,1555,2390
85.13,0.837,3.362,4.375,2597,17,2.03,0.23,773,20.07,593,1098,1364,2445
85.97,0.836,3.373,4.386,2447,11,2.03,0.27,894,19.34,609,1045,1337,2509
86.41,0.848,3.392,4.417,2611,31,2.01,0.27,901,22.26,567,973,1459,2501
86.15,0.833,3.379,4.377,2546,46,2.03,0.27,898,21.23,603,1027,1272,2598
84.87,0.801,3.394,4.368,2572,26,2.0,0.3,1013,22.75,548,1080,1347,2525
86.78,0.792,3.388,4.355,2640,29,2.02,0.3,985,23.31,582,1067,1293,2558
86.15,0.852,3.39,4.413,2759,6,1.99,0.28,912,24.62,546,887,1482,2585
87.53,0.835,3.406,4.397,2942,2,1.99,0.29,966,21.98,530,1004,1491,2475
86.1,0.846,3.42,4.431,2567,52,1.98,0.3,1008,20.98,517,962,1457,2564
87.17,0.808,3.414,4.383,2664,22,1.97,0.31,1019,20.65,463,1163,1387,2487
86.81,0.817,3.4,4.38,2771,44,1.97,0.3,1010,20.93,474,1144,1289,2593
87.55,0.798,3.394,4.352,2767,25,2.02,0.3,1004,22.48,573,1141,1231,2555
86.65,0.824,3.383,4.364,2823,19,1.99,0.33,1111,20.98,514,1100,1424,2462
85.93,0.871,3.38,4.413,2404,0,1.93,0.3,983,18.6,385,1049,1536,2530
85.85,0.829,3.375,4.375,2513,27,1.99,0.29,969,22.94,527,1048,1322,2603
85.83,0.859,3.344,4.366,2374,45,1.99,0.29,960,21.44,511,1123,1274,2592
85.4,0.868,3.327,4.37,2488,2,1.99,0.28,922,19.48,504,1140,1286,2570
84.98,0.856,3.354,4.377,2448,9,1.98,0.33,1093,20.41,499,994,1509,2498
84.09,0.847,3.341,4.356,2579,24,1.97,0.3,1003,23.34,477,1094,1531,2398
85.07,0.828,3.349,4.336,2670,60,2.02,0.31,1037,20.97,566,1119,1329,2486
86.13,0.795,3.375,4.329,2604,40,2.01,0.32,1054,25.47,559,1074,1430,2437
87.83,0.821,3.394,4.377,2648,10,1.97,0.31,1042,24.62,494,1028,1390,2588
86.23,0.814,3.398,4.377,2300,31,1.98,0.32,1078,21.56,492,1043,1410,2555
87.17,0.816,3.388,4.361,2612,41,1.98,0.32,1077,22.28,498,1119,1375,2508
86.37,0.827,3.389,4.375,2352,13,2.0,0.34,1117,18.19,545,1016,1515,2424
86.19,0.834,3.402,4.394,2318,34,2.0,0.33,1095,16.23,547,1016,1225,2712
84.66,0.81,3.373,4.352,2435,21,2.03,0.28,944,21.86,592,1088,1349,2471
85.17,0.81,3.39,4.363,2747,29,1.99,0.31,1049,26.79,511,1143,1261,2585
85.08,0.809,3.399,4.372,2457,18,1.97,0.32,1058,23.52,481,1072,1474,2473
86.45,0.809,3.412,4.383,2903,88,2.01,0.3,1003,22.18,556,1043,1389,2512
86.66,0.851,3.375,4.388,2715,62,1.98,0.28,923,25.46,512,1001,1502,2485
