gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds,exec,8k,4k,1440p,1080p
32.38,0.841,3.214,4.27,402,0,2.11,0.05,61,0.8,262,475,573,690
31.66,0.814,3.243,4.269,262,0,2.09,0.07,85,0.45,247,460,598,695
32.12,0.781,3.309,4.293,304,0,2.07,0.15,180,0.49,239,423,604,734
31.98,0.746,3.334,4.282,266,2,2.11,0.16,191,0.54,270,405,622,703
31.83,0.733,3.338,4.275,157,13,2.1,0.17,211,0.3,273,381,627,719
30.95,0.735,3.327,4.262,259,0,2.09,0.16,191,0.54,261,410,607,722
31.12,0.734,3.314,4.244,261,2,2.1,0.17,202,0.48,250,497,537,716
31.47,0.722,3.294,4.209,278,8,2.11,0.18,215,0.42,256,498,597,649
32.06,0.698,3.33,4.22,271,21,2.08,0.18,221,0.51,236,491,626,647
31.75,0.678,3.373,4.247,229,1,2.06,0.19,235,0.41,220,477,624,679
31.38,0.689,3.348,4.231,263,0,2.08,0.17,204,0.41,230,515,602,653
30.95,0.643,3.398,4.23,222,0,2.09,0.23,279,0.32,243,504,614,639
32.17,0.646,3.397,4.231,452,0,2.12,0.2,242,0.56,265,474,619,642
31.55,0.64,3.376,4.205,185,6,2.11,0.2,240,0.38,254,498,645,603
31.11,0.65,3.407,4.241,246,0,2.07,0.21,252,0.41,225,519,581,675
32.7,0.652,3.445,4.283,219,22,2.06,0.2,243,0.34,220,489,572,719
32.65,0.637,3.473,4.297,392,3,2.1,0.23,285,0.62,267,418,576,739
32.19,0.655,3.441,4.285,264,0,2.12,0.22,264,0.39,285,400,578,737
31.55,0.666,3.388,4.244,187,6,2.11,0.18,217,0.36,264,473,563,700
30.71,0.647,3.445,4.278,226,16,2.1,0.21,257,0.35,257,443,559,741
32.43,0.602,3.474,4.261,336,2,2.13,0.23,281,0.71,285,425,568,722
32.36,0.629,3.459,4.272,341,0,2.12,0.23,278,0.61,281,414,576,729
31.57,0.632,3.427,4.243,279,0,2.14,0.21,255,0.52,296,421,625,658
31.49,0.64,3.44,4.264,480,7,2.08,0.24,287,0.67,238,450,650,662
31.84,0.644,3.453,4.282,157,0,2.06,0.25,297,0.3,228,421,681,670
32.59,0.649,3.485,4.319,306,13,2.05,0.26,319,0.51,228,408,586,778
32.85,0.654,3.493,4.329,293,17,2.08,0.28,343,0.56,251,388,579,782
32.77,0.666,3.481,4.329,338,0,2.06,0.28,342,0.59,237,405,575,783
31.59,0.673,3.457,4.317,211,0,2.06,0.23,283,0.34,231,422,617,730
31.9,0.65,3.428,4.266,188,0,2.08,0.23,274,0.32,240,450,640,670
32.11,0.655,3.438,4.283,205,0,2.07,0.21,257,0.39,235,446,620,699
32.08,0.632,3.433,4.254,242,4,2.11,0.25,300,0.37,270,407,644,679
31.42,0.651,3.424,4.264,280,5,2.06,0.25,299,0.54,238,402,677,683
31.18,0.624,3.463,4.268,215,22,2.09,0.28,340,0.36,259,412,638,691
32.74,0.608,3.473,4.259,360,0,2.15,0.29,354,0.69,302,419,566,713
32.48,0.605,3.465,4.245,207,18,2.14,0.28,345,0.32,291,457,574,678
31.91,0.608,3.5,4.292,203,0,2.11,0.26,316,0.36,274,423,581,722
32.31,0.625,3.436,4.247,286,0,2.14,0.24,295,0.5,286,461,592,661
31.67,0.654,3.382,4.227,257,0,2.13,0.2,237,0.4,277,479,594,650
31.32,0.648,3.339,4.18,337,11,2.12,0.18,214,0.52,253,551,614,582
31.58,0.669,3.345,4.213,289,0,2.11,0.16,192,0.55,264,462,659,615
32.42,0.691,3.358,4.249,227,0,2.07,0.16,196,0.41,228,477,624,671
31.86,0.668,3.374,4.24,327,1,2.08,0.19,225,0.55,226,520,618,636
32.0,0.644,3.417,4.248,264,0,2.09,0.22,262,0.41,244,470,644,642
31.48,0.65,3.409,4.242,138,1,2.1,0.22,271,0.26,256,471,618,655
31.78,0.667,3.403,4.254,315,1,2.11,0.19,233,0.66,267,435,629,669
31.35,0.665,3.388,4.241,276,0,2.11,0.19,233,0.41,273,416,672,639
31.35,0.671,3.394,4.254,215,3,2.11,0.2,237,0.42,272,405,681,642
31.33,0.688,3.381,4.26,259,0,2.1,0.18,218,0.42,261,423,649,667
31.41,0.701,3.361,4.255,193,0,2.09,0.14,171,0.26,242,484,598,676
31.38,0.683,3.344,4.215,307,0,2.11,0.16,189,0.56,252,509,611,628
30.89,0.683,3.31,4.183,174,0,2.14,0.15,181,0.26,270,525,626,579
30.85,0.679,3.294,4.165,228,0,2.15,0.1,123,0.31,281,535,629,555
31.2,0.669,3.369,4.227,367,11,2.09,0.14,173,0.55,233,544,602,621
31.29,0.658,3.447,4.288,305,2,2.07,0.19,234,0.62,236,455,625,684
